tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id
"['data-analysis', 'dbt', 'airbyte']","{'account_id': 933147, 'reputation': 5785, 'user_id': 962602, 'user_type': 'registered', 'accept_rate': 48, 'profile_image': 'https://www.gravatar.com/avatar/d7baa1d4738958fac3e84b0c2834aa55?s=256&d=identicon&r=PG', 'display_name': 'Trent', 'link': 'https://stackoverflow.com/users/962602/trent'}",True,27,1,0,1693327670,1693240066,76994522,CC BY-SA 4.0,https://stackoverflow.com/questions/76994522/how-to-use-dbt-and-airbyte-to-cross-data-from-different-source,How to use dbt and airbyte to cross data from different source?,,
"['docker-compose', 'data-engineering', 'airbyte']","{'account_id': 29131694, 'reputation': 1, 'user_id': 22316802, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1fb49aa0ff5e8af1c8561786b4cd5f3a?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'user22316802', 'link': 'https://stackoverflow.com/users/22316802/user22316802'}",False,31,0,0,1692633833,1692633833,76946996,CC BY-SA 4.0,https://stackoverflow.com/questions/76946996/integrating-airbyte-as-a-multi-container-app-in-the-main-docker-compose-yml,Integrating Airbyte as a multi-container app in the main docker-compose.yml,,
"['amazon-web-services', 'docker', 'amazon-ec2', 'docker-compose', 'airbyte']","{'account_id': 7591527, 'reputation': 306, 'user_id': 5759056, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10205399821419922/picture?type=large', 'display_name': 'BoIde', 'link': 'https://stackoverflow.com/users/5759056/boide'}",False,80,1,0,1692914220,1691597163,76869512,CC BY-SA 4.0,https://stackoverflow.com/questions/76869512/unable-to-run-airbyte-on-amazon-ec2,Unable to run Airbyte on Amazon EC2,,
"['mysql', 'amazon-ec2', 'snowflake-cloud-data-platform', 'airbyte']","{'account_id': 21585160, 'reputation': 165, 'user_id': 15915737, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e47ece4c014cf624eec3991c7f66655c?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'user15915737', 'link': 'https://stackoverflow.com/users/15915737/user15915737'}",False,53,0,0,1691568420,1691567189,76865620,CC BY-SA 4.0,https://stackoverflow.com/questions/76865620/airbyte-mysql-to-snowflake-error-connection-was-unexpectedly-lost,(Airbyte) MySQL to Snowflake error: connection was unexpectedly lost,1691568420.0,
"['pipeline', 'batch-processing', 'open-source', 'data-engineering', 'airbyte']","{'account_id': 29131694, 'reputation': 1, 'user_id': 22316802, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1fb49aa0ff5e8af1c8561786b4cd5f3a?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'user22316802', 'link': 'https://stackoverflow.com/users/22316802/user22316802'}",False,25,1,0,1691305808,1691303441,76844688,CC BY-SA 4.0,https://stackoverflow.com/questions/76844688/open-source-data-stack-airbyte-airflow,"open source data stack - Airbyte, Airflow, ?,?",1691303477.0,
"['airbyte', 'elt']","{'account_id': 18163128, 'reputation': 23, 'user_id': 13514955, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f00846dabbb51668dc6321fd418fdf6b?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Felipe Souza', 'link': 'https://stackoverflow.com/users/13514955/felipe-souza'}",True,41,1,0,1693173671,1691264853,76843281,CC BY-SA 4.0,https://stackoverflow.com/questions/76843281/disable-airbyte-ssl-verification-for-custom-api-connector,Disable Airbyte SSL Verification for custom api connector,,76989115.0
"['docker', 'image', 'containers', 'docker-desktop', 'airbyte']","{'account_id': 29140052, 'reputation': 1, 'user_id': 22323267, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4e79e9115705b518fe0bf55296de2783?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'RaulLeite', 'link': 'https://stackoverflow.com/users/22323267/raulleite'}",False,74,1,-1,1690984122,1690931961,76815713,CC BY-SA 4.0,https://stackoverflow.com/questions/76815713/the-command-run-ab-platform-sh-in-windows-powershell-does-not-execute,The command &quot;./run-ab-platform.sh&quot; in Windows PowerShell does not execute,1690984122.0,
"['python', 'docker', 'kubernetes', 'airflow', 'airbyte']","{'account_id': 28944254, 'reputation': 1, 'user_id': 22170172, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0ef925f5777c09445b522d8a5d2f14c8?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'eulerwizard', 'link': 'https://stackoverflow.com/users/22170172/eulerwizard'}",False,37,0,0,1688505892,1688422661,76608392,CC BY-SA 4.0,https://stackoverflow.com/questions/76608392/using-a-kubernetespodoperator-to-run-a-docker-command-that-uses-airbytes-salesf,Using a KubernetesPodOperator to run a Docker command that uses Airbyte&#39;s Salesforce connector to ingest a report,1688505892.0,
"['clickhouse', 'airbyte']","{'account_id': 18212271, 'reputation': 646, 'user_id': 13254554, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhUqdXhtIy0MJhnwup3cuy2MU-vxp7Mm0MQ8oT78zQ=k-s256', 'display_name': 'brenda', 'link': 'https://stackoverflow.com/users/13254554/brenda'}",False,105,1,0,1686888278,1686759432,76475636,CC BY-SA 4.0,https://stackoverflow.com/questions/76475636/missing-synced-tables-in-clickhouse-database,Missing synced tables in Clickhouse database,1686759771.0,
"['docker', 'docker-compose', 'etl', 'airbyte']","{'account_id': 28778288, 'reputation': 21, 'user_id': 22040415, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/A33vl.jpg?s=256&g=1', 'display_name': 'Mohammed Salah', 'link': 'https://stackoverflow.com/users/22040415/mohammed-salah'}",False,167,0,2,1694082504,1686224896,76431549,CC BY-SA 4.0,https://stackoverflow.com/questions/76431549/docker-compose-v2-not-found,docker compose v2 not found,,
