tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason
"['python', 'amazon-data-pipeline', 'data-ingestion']","{'account_id': 29319205, 'reputation': 11, 'user_id': 22463169, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTtf1MTlNw_uN0kXI7QQt-gSMayCcXepMMOaJQwgaK3AE=k-s256', 'display_name': 'Olivia Xu', 'link': 'https://stackoverflow.com/users/22463169/olivia-xu'}",False,16,0,1,1693583823,1693289268,1693583823.0,76997703,CC BY-SA 4.0,https://stackoverflow.com/questions/76997703/api-doesnt-support-batch-bulk-operations,API doesn&#39;t support batch/bulk operations,,,
"['amazon-web-services', 'command-line-interface', 'amazon-data-pipeline']","{'account_id': 27302386, 'reputation': 33, 'user_id': 20818895, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/688ebec5422e35b0faf9fbfb2a191098?s=256&d=identicon&r=PG', 'display_name': 'CGBoy', 'link': 'https://stackoverflow.com/users/20818895/cgboy'}",False,94,0,0,1683906212,1683906212,,76237955,CC BY-SA 4.0,https://stackoverflow.com/questions/76237955/mark-a-aws-data-pipeline-as-succeeded-via-aws-cli,Mark a AWS data pipeline as succeeded via AWS CLI,,,
"['amazon-web-services', 'data-science', 'amazon-athena', 'amazon-quicksight', 'amazon-data-pipeline']","{'account_id': 28201529, 'reputation': 1, 'user_id': 21555240, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AGNmyxaJz-Dx8T1XDz-bcj1eeQNwL7sy3ePwWrk2Zdke=k-s256', 'display_name': 'Dexter', 'link': 'https://stackoverflow.com/users/21555240/dexter'}",False,225,0,0,1680588549,1680588549,,75926001,CC BY-SA 4.0,https://stackoverflow.com/questions/75926001/my-quicksight-visualization-is-not-showing-date-time-in-correct-format-for-a-tim,My QuickSight visualization is not showing Date-Time in correct format for a time-series analysis i put,,,
"['sql', 'database', 'etl', 'amazon-data-pipeline', 'data-pipeline']","{'account_id': 19148359, 'reputation': 155, 'user_id': 13986798, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjChcBpUFHjboSw5LGiTUB6_f9RvqWqWqOMnwg9s9o=k-s256', 'display_name': 'Sanjay Kumar', 'link': 'https://stackoverflow.com/users/13986798/sanjay-kumar'}",False,9,0,0,1680250895,1680250895,,75896338,CC BY-SA 4.0,https://stackoverflow.com/questions/75896338/how-result-data-published-by-respective-boards-are-available-just-after-few-minu,How Result Data Published by Respective Boards are available just after few minutes on other portals,,,
"['scala', 'apache-spark', 'amazon-data-pipeline', 'amazon-deequ', 'scala-spark']","{'account_id': 15632580, 'reputation': 288, 'user_id': 11278478, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/429f7074344598b3f4ebcd324a9be826?s=256&d=identicon&r=PG', 'display_name': 'PythonDeveloper', 'link': 'https://stackoverflow.com/users/11278478/pythondeveloper'}",False,76,0,0,1678999404,1678999404,,75761460,CC BY-SA 4.0,https://stackoverflow.com/questions/75761460/get-error-records-from-deequ-verificationsuite,Get Error Records from deequ VerificationSuite,,,
"['amazon-web-services', 'aws-glue', 'amazon-data-pipeline', 'flyte']","{'account_id': 155196, 'reputation': 1849, 'user_id': 371683, 'user_type': 'registered', 'accept_rate': 59, 'profile_image': 'https://i.stack.imgur.com/n4ddK.jpg?s=256&g=1', 'display_name': 'Niklas B', 'link': 'https://stackoverflow.com/users/371683/niklas-b'}",False,65,1,0,1674244748,1673049601,,75037164,CC BY-SA 4.0,https://stackoverflow.com/questions/75037164/data-pipelines-om-aws-for-high-mem-glue-mwaa-step-funktions,"Data pipelines om AWS for high mem (glue, MWAA, step funktions)",,,
"['amazon-web-services', 'deprecation-warning', 'amazon-data-pipeline']","{'account_id': 9770061, 'reputation': 924, 'user_id': 7242275, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://i.stack.imgur.com/9jmu2.jpg?s=256&g=1', 'display_name': 'Dinuka Salwathura', 'link': 'https://stackoverflow.com/users/7242275/dinuka-salwathura'}",True,5019,2,8,1674049901,1670923340,,74782507,CC BY-SA 4.0,https://stackoverflow.com/questions/74782507/is-aws-datapipeline-service-being-deprecated,Is aws datapipeline service being deprecated?,,,
"['amazon-s3', 'aws-lambda', 'aws-glue', 'amazon-data-pipeline']","{'account_id': 4169280, 'reputation': 1840, 'user_id': 3417479, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/d7252001f14dc7061603383c5833ea2d?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'user3417479', 'link': 'https://stackoverflow.com/users/3417479/user3417479'}",True,124,1,-1,1670960846,1670840869,1670960846.0,74769692,CC BY-SA 4.0,https://stackoverflow.com/questions/74769692/file-conversion-in-aws,File conversion in AWS,,,
"['amazon-web-services', 'amazon-iam', 'amazon-data-pipeline']","{'account_id': 24645125, 'reputation': 67, 'user_id': 19108801, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5ea0e2ca2b233902cfd38277bed1653e?s=256&d=identicon&r=PG', 'display_name': 'UwUs', 'link': 'https://stackoverflow.com/users/19108801/uwus'}",False,31,0,0,1669807190,1669805339,1669807190.0,74626514,CC BY-SA 4.0,https://stackoverflow.com/questions/74626514/aws-datapipeline-warning-error-occurred-while-validating-resourcerole,AWS datapipeline WARNING: Error occurred while validating resourceRole,,,
"['amazon-web-services', 'amazon-s3', 'amazon-dynamodb', 'migration', 'amazon-data-pipeline']","{'account_id': 7471311, 'reputation': 81, 'user_id': 5679225, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b5feb2634c61245fcab3ff44af2897b0?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Parwinder Kumar', 'link': 'https://stackoverflow.com/users/5679225/parwinder-kumar'}",False,609,2,0,1668418061,1668414433,1668415357.0,74428733,CC BY-SA 4.0,https://stackoverflow.com/questions/74428733/options-to-export-selective-data-from-one-dynamodb-table-to-another-table-in-sam,Options to export selective data from one dynamodb table to another table in same region,,,
