tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,protected_date
['apache-nifi'],"{'account_id': 27578672, 'reputation': 21, 'user_id': 21048326, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c133f09f8fea4a8738104131a8d47061?s=256&d=identicon&r=PG', 'display_name': 'Ram', 'link': 'https://stackoverflow.com/users/21048326/ram'}",False,12,0,0,1695158506,1695135149,1695158506.0,77135659,CC BY-SA 4.0,https://stackoverflow.com/questions/77135659/get-filesize-and-filename-of-flowfiles-as-flow-file-contents,Get filesize and filename of flowfiles as flow file contents,,,,
"['spring-boot', 'jersey', 'apache-nifi', 'java-17', 'jersey-client']","{'account_id': 15893137, 'reputation': 125, 'user_id': 11467666, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-RIZyFj71ByU/AAAAAAAAAAI/AAAAAAAAGXc/3gBB8Ou0_VA/photo.jpg?sz=256', 'display_name': 'Nam Nguyen', 'link': 'https://stackoverflow.com/users/11467666/nam-nguyen'}",False,29,0,0,1695100935,1695100507,1695100935.0,77131866,CC BY-SA 4.0,https://stackoverflow.com/questions/77131866/upgrading-spring-boot-3-with-jersey-client-classcastexception-attempting-to-ca,Upgrading spring boot 3 with Jersey client: ClassCastException: attempting to castjar:file:,,,,
['apache-nifi'],"{'account_id': 109694, 'reputation': 2144, 'user_id': 290541, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://i.stack.imgur.com/92EyJ.jpg?s=256&g=1', 'display_name': 'blockcipher', 'link': 'https://stackoverflow.com/users/290541/blockcipher'}",False,12,0,0,1695053181,1695039835,1695053181.0,77127189,CC BY-SA 4.0,https://stackoverflow.com/questions/77127189/why-is-nifi-reporting-an-impossibly-large-queue-size,Why is Nifi reporting an impossibly large queue size?,,,,
['apache-nifi'],"{'account_id': 29471374, 'reputation': 1, 'user_id': 22583935, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ACg8ocJBFMIW0jaIKn9U7ireltiOTTIbVRQ_mcnMDMBg10Ip=k-s256', 'display_name': 'oadaval', 'link': 'https://stackoverflow.com/users/22583935/oadaval'}",False,18,0,0,1695025277,1695025277,,77125538,CC BY-SA 4.0,https://stackoverflow.com/questions/77125538/how-to-load-parameters-from-file,How to load parameters from file?,,,,
"['json', 'transform', 'apache-nifi', 'jolt']","{'account_id': 13224474, 'reputation': 299, 'user_id': 9550018, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/45e4617bdbe2c2f279cabd1ecad0328f?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'VinceL', 'link': 'https://stackoverflow.com/users/9550018/vincel'}",False,30,1,0,1695024817,1695018482,,77124959,CC BY-SA 4.0,https://stackoverflow.com/questions/77124959/jolt-transformation-with-repeating-elements-for-each-inner-array,JOLT Transformation with repeating elements for each inner array,,,,
['apache-nifi'],"{'account_id': 16264909, 'reputation': 544, 'user_id': 11768621, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/44304d1c94ac8e6ede44a3ddbc8d6c5b?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Piyush', 'link': 'https://stackoverflow.com/users/11768621/piyush'}",False,9,0,1,1694944170,1694944170,,77121294,CC BY-SA 4.0,https://stackoverflow.com/questions/77121294/request-apachenifi-processor-for-post-request-with-form-data,Request apachenifi processor for POST request with form-data,,,,
"['json', 'apache-nifi', 'jolt']","{'account_id': 27220272, 'reputation': 17, 'user_id': 20749672, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AEdFTp7lVfRyGahKVisJg74GqPyzKb95bxhXPziWpLfoAw=k-s256', 'display_name': 'Manimaran Dhandapani', 'link': 'https://stackoverflow.com/users/20749672/manimaran-dhandapani'}",True,37,1,1,1694784834,1694765042,1694765485.0,77110648,CC BY-SA 4.0,https://stackoverflow.com/questions/77110648/jolt-concat-of-two-strings-in-array,Jolt: Concat of two strings in array,77110913.0,,,
['apache-nifi'],"{'account_id': 60638, 'reputation': 3307, 'user_id': 181098, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://www.gravatar.com/avatar/9395ce95800dc2fa198f7e3cca947258?s=256&d=identicon&r=PG', 'display_name': 'Hein du Plessis', 'link': 'https://stackoverflow.com/users/181098/hein-du-plessis'}",True,18,1,0,1694795259,1694698479,,77105438,CC BY-SA 4.0,https://stackoverflow.com/questions/77105438/nifi-load-results-of-mysql-query-into-attribute,NiFi load results of mysql query into attribute,77114000.0,,,
"['postgresql', 'jdbc', 'apache-nifi']","{'account_id': 29440117, 'reputation': 1, 'user_id': 22558335, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/939e1bd3397796c06e4710b54d230be1?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Shalini Singh', 'link': 'https://stackoverflow.com/users/22558335/shalini-singh'}",False,12,0,0,1694684314,1694684314,,77103629,CC BY-SA 4.0,https://stackoverflow.com/questions/77103629/i-am-trying-to-running-apache-nifi-on-one-server-and-my-postgresql-is-on-another,I am trying to running Apache-NiFi on one server and my postgresql is on another server,,,,
"['json', 'apache-nifi', 'jolt']","{'account_id': 8986345, 'reputation': 273, 'user_id': 6699811, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1426646664029181/picture?type=large', 'display_name': 'Thiyagaraj Narayanan', 'link': 'https://stackoverflow.com/users/6699811/thiyagaraj-narayanan'}",True,28,1,0,1694677062,1694665864,1694677062.0,77101804,CC BY-SA 4.0,https://stackoverflow.com/questions/77101804/jolt-spec-to-create-a-counter-based-on-the-column,Jolt Spec to create a counter based on the column,77102676.0,,,
"['json', 'apache-nifi', 'jolt']","{'account_id': 29430989, 'reputation': 3, 'user_id': 22550711, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ACg8ocIojBGdd27soreqKifZiikS9MGes8tA9GzN-4zwMQm2=k-s256', 'display_name': 'Mahesh Manchineni', 'link': 'https://stackoverflow.com/users/22550711/mahesh-manchineni'}",True,11,1,0,1694606937,1694605905,1694606143.0,77096819,CC BY-SA 4.0,https://stackoverflow.com/questions/77096819/jolt-for-deriving-a-new-columns-based-on-substring-function-if-else-and-then-co,"Jolt for deriving a new columns based on substring function ,if-else and then concatenate both the columns",77096955.0,,,
"['arrays', 'json', 'apache-nifi']","{'account_id': 29429029, 'reputation': 1, 'user_id': 22549067, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ACg8ocKCDq0otq58m9RggvOZ1Ql1z-65qLzEY_76OxeMKD_z=k-s256', 'display_name': 'Sara Ali', 'link': 'https://stackoverflow.com/users/22549067/sara-ali'}",False,13,0,0,1694601298,1694601298,,77096279,CC BY-SA 4.0,https://stackoverflow.com/questions/77096279/create-dynamic-json,Create Dynamic Json,,,,
"['apache-nifi', 'hashicorp-vault']","{'account_id': 15893137, 'reputation': 125, 'user_id': 11467666, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-RIZyFj71ByU/AAAAAAAAAAI/AAAAAAAAGXc/3gBB8Ou0_VA/photo.jpg?sz=256', 'display_name': 'Nam Nguyen', 'link': 'https://stackoverflow.com/users/11467666/nam-nguyen'}",False,19,0,0,1694594328,1694594328,,77095423,CC BY-SA 4.0,https://stackoverflow.com/questions/77095423/can-i-use-hashicorpvaultparameterprovider-in-nifi-to-get-key-value-secret-engine,Can I use HashiCorpVaultParameterProvider in NiFi to get key/value secret engine version 2 in Hashicorp Vault?,,,,
['apache-nifi'],"{'account_id': 1793933, 'reputation': 1595, 'user_id': 1633784, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/1c25faf889aab370c7662657d580a180?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Jason Richmeier', 'link': 'https://stackoverflow.com/users/1633784/jason-richmeier'}",False,17,0,0,1694547354,1694547354,,77092192,CC BY-SA 4.0,https://stackoverflow.com/questions/77092192/getting-a-new-access-token-for-nifi-rest-api,Getting a New Access Token for NiFi REST API,,,,
"['json', 'csv', 'groovy', 'apache-nifi']","{'account_id': 24203989, 'reputation': 11, 'user_id': 18161446, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxokcjm6CoKe-exYVYEcSphOV2hx9JaUp7KO1cm=k-s256', 'display_name': 'Patrick Baie', 'link': 'https://stackoverflow.com/users/18161446/patrick-baie'}",False,19,1,1,1694717603,1694522171,,77089176,CC BY-SA 4.0,https://stackoverflow.com/questions/77089176/nifi-best-way-to-handle-json-at-performance-level,NIFI - best way to handle json at performance level,,,,
"['bash', 'sftp', 'apache-nifi', 'expect', 'nifi-processor']","{'account_id': 13259878, 'reputation': 37, 'user_id': 9574789, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8eda08bae0755f55b3407cdb01e29923?s=256&d=identicon&r=PG', 'display_name': 'scoutjohn13', 'link': 'https://stackoverflow.com/users/9574789/scoutjohn13'}",False,33,1,0,1694527346,1694517292,1694520747.0,77088591,CC BY-SA 4.0,https://stackoverflow.com/questions/77088591/expect-script-working-manually-not-via-nifi-processor,Expect Script working manually not via NiFi Processor,,,,
['apache-nifi'],"{'account_id': 2846397, 'reputation': 6298, 'user_id': 2444661, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://www.gravatar.com/avatar/e2769763430962bbe0c30faff29ab8d4?s=256&d=identicon&r=PG', 'display_name': 'Mandroid', 'link': 'https://stackoverflow.com/users/2444661/mandroid'}",True,14,1,0,1694745963,1694416317,,77079557,CC BY-SA 4.0,https://stackoverflow.com/questions/77079557/apache-nifi-execution-node-is-invalid-because-processors-with-incoming-connec,apache nifi: &#39;Execution node&#39; is invalid because processors with incoming connections cannot be scheduled for primary node only,77109340.0,,,
"['json', 'apache-nifi', 'jolt']","{'account_id': 15558706, 'reputation': 3, 'user_id': 11224356, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c2105488b60589b7763389ecce787f5f?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Aditya', 'link': 'https://stackoverflow.com/users/11224356/aditya'}",True,35,3,0,1694339662,1694285750,1694339662.0,77073649,CC BY-SA 4.0,https://stackoverflow.com/questions/77073649/nifi-how-to-replace-text-based-on-length-of-field-in-json-records,NiFi | How to replace text based on length of field in JSON records,77074368.0,,,
['apache-nifi'],"{'account_id': 11004951, 'reputation': 1, 'user_id': 8084150, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0eb8421bc1ff91c76b52f8349443f35d?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Siva', 'link': 'https://stackoverflow.com/users/8084150/siva'}",False,27,1,0,1694110862,1694094031,,77060136,CC BY-SA 4.0,https://stackoverflow.com/questions/77060136/how-to-read-an-excel-file-in-apache-nifi-and-give-the-excel-data-as-input-to-nex,How to read an Excel file in Apache nifi and give the Excel data as input to next processor?,,,,
"['apache-nifi', 'sentry']","{'account_id': 4177313, 'reputation': 282, 'user_id': 3423442, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://graph.facebook.com/100000098134093/picture?type=large', 'display_name': 'Michal Heneš', 'link': 'https://stackoverflow.com/users/3423442/michal-hene%c5%a1'}",False,55,1,3,1695112174,1694092813,1694093277.0,77059989,CC BY-SA 4.0,https://stackoverflow.com/questions/77059989/nifi-integration-with-sentry-io,NiFi integration with Sentry.io,,,,
"['json', 'apache-nifi']","{'account_id': 26820535, 'reputation': 53, 'user_id': 20409944, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ALm5wu0EB8Z9b6hk3ZNXuCHEce052UWgEj-1u3Gr3nUR=k-s256', 'display_name': 'Sinuers', 'link': 'https://stackoverflow.com/users/20409944/sinuers'}",False,10,0,0,1694091339,1694091339,,77059807,CC BY-SA 4.0,https://stackoverflow.com/questions/77059807/nifi-sending-binary-files-to-rest-api,NiFi - Sending binary files to Rest API?,,,,
['apache-nifi'],"{'account_id': 288211, 'reputation': 4860, 'user_id': 588492, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://i.stack.imgur.com/AJfPV.png?s=256&g=1', 'display_name': 'edjm', 'link': 'https://stackoverflow.com/users/588492/edjm'}",False,6,0,0,1694081736,1694081736,,77058663,CC BY-SA 4.0,https://stackoverflow.com/questions/77058663/perform-case-sensitive-search-in-nifi-search-box,Perform case sensitive search in NiFi search box?,,,,
"['python', 'apache-spark', 'apache-nifi', 'hl7-fhir', 'cloudera-cdp']","{'account_id': 29314455, 'reputation': 13, 'user_id': 22459533, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTtdhJwB7tJloJyDiScyiRMfeyQ6os7ZW8G5fxtyQW5M-=k-s256', 'display_name': 'Oppie', 'link': 'https://stackoverflow.com/users/22459533/oppie'}",False,24,0,1,1694009681,1694002852,1694009681.0,77051838,CC BY-SA 4.0,https://stackoverflow.com/questions/77051838/how-can-i-process-fhir-data-in-cloudera-cdp-environment,How can I process FHIR data in Cloudera CDP environment?,,,,
"['amazon-s3', 'amazon-ec2', 'aws-lambda', 'apache-nifi']","{'account_id': 16755327, 'reputation': 51, 'user_id': 12111390, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8926d3d82f50cd1e99a5cdaefdee4763?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Erwin', 'link': 'https://stackoverflow.com/users/12111390/erwin'}",False,22,0,-3,1695077663,1693993199,1695077663.0,77050760,,https://stackoverflow.com/questions/77050760/how-does-apache-nifi-separate-data-from-amazon-lambda-logs-by-time-compress-the,"How does Apache NiFi separate data from Amazon Lambda logs by time, compress them into ZIP files by size, and store them in Amazon S3",,1695078356.0,Needs more focus,
['apache-nifi'],"{'account_id': 2846397, 'reputation': 6298, 'user_id': 2444661, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://www.gravatar.com/avatar/e2769763430962bbe0c30faff29ab8d4?s=256&d=identicon&r=PG', 'display_name': 'Mandroid', 'link': 'https://stackoverflow.com/users/2444661/mandroid'}",True,24,1,0,1693972640,1693971166,,77048871,CC BY-SA 4.0,https://stackoverflow.com/questions/77048871/apche-nifi-keeping-multiple-versions-of-a-nar,Apche NiFi: Keeping multiple versions of a NAR,,,,
"['json', 'apache-nifi', 'jolt']","{'account_id': 8986345, 'reputation': 273, 'user_id': 6699811, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1426646664029181/picture?type=large', 'display_name': 'Thiyagaraj Narayanan', 'link': 'https://stackoverflow.com/users/6699811/thiyagaraj-narayanan'}",True,42,2,0,1693923827,1693909464,1693915037.0,77043686,CC BY-SA 4.0,https://stackoverflow.com/questions/77043686/jolt-concatenate-only-if-my-two-columns-are-not-null-default-value-if-it-is-nul,"Jolt concatenate only if my two columns are not Null, default value if it is NULL",77044279.0,,,
['apache-nifi'],"{'account_id': 21436732, 'reputation': 5, 'user_id': 18268131, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f1685c097312897712587f0566dac8bf?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'EdiM', 'link': 'https://stackoverflow.com/users/18268131/edim'}",False,13,0,0,1693905763,1693905763,,77043264,CC BY-SA 4.0,https://stackoverflow.com/questions/77043264/setup-nifi-to-integrate-with-ldap-on-a-running-cluster,Setup NIFI to integrate with LDAP on a running cluster,,,,
"['solr', 'full-text-search', 'apache-nifi', 'dataimporthandler']","{'account_id': 29360859, 'reputation': 1, 'user_id': 22495613, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0f54518776afc6e7882e369a91e8010e?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'emajar', 'link': 'https://stackoverflow.com/users/22495613/emajar'}",False,38,0,0,1694153093,1693904855,1694153093.0,77043171,CC BY-SA 4.0,https://stackoverflow.com/questions/77043171/indexing-irregular-string-data-with-special-characters-into-solr-using-apach,Indexing irregular String Data with special characters(;+) into Solr using Apache Nifi,,,,
"['docker', 'docker-compose', 'apache-nifi', 'traefik']","{'account_id': 29369004, 'reputation': 11, 'user_id': 22501994, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1cb2db95c6524d5b555bfc4a68960eec?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Felix Steiner', 'link': 'https://stackoverflow.com/users/22501994/felix-steiner'}",True,28,1,1,1693914317,1693899683,,77042598,CC BY-SA 4.0,https://stackoverflow.com/questions/77042598/apache-nifi-docker-compose-with-traefik-reverse-proxy-does-not-work-with-multipl,Apache Nifi docker-compose with Traefik reverse proxy does not work with multiple networks,77044225.0,,,
['apache-nifi'],"{'account_id': 11004951, 'reputation': 1, 'user_id': 8084150, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0eb8421bc1ff91c76b52f8349443f35d?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Siva', 'link': 'https://stackoverflow.com/users/8084150/siva'}",True,23,1,0,1693857434,1693841380,1693847495.0,77039023,CC BY-SA 4.0,https://stackoverflow.com/questions/77039023/reading-content-in-plain-text-file-and-if-the-content-is-pass-then-it-should-go,Reading content in plain text file and if the content is pass then it should go to next processor in Apache nifi,,,,
"['json', 'apache-nifi', 'jolt']","{'account_id': 8986345, 'reputation': 273, 'user_id': 6699811, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1426646664029181/picture?type=large', 'display_name': 'Thiyagaraj Narayanan', 'link': 'https://stackoverflow.com/users/6699811/thiyagaraj-narayanan'}",True,33,2,1,1693859285,1693836438,1693859285.0,77038433,CC BY-SA 4.0,https://stackoverflow.com/questions/77038433/flattening-a-nested-json-using-jolt-transform-very-complex,Flattening a nested JSON using jolt transform - Very complex,77040440.0,,,
