tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,protected_date
"['sql', 'google-cloud-platform', 'airflow', 'directed-acyclic-graphs', 'google-cloud-composer']","{'account_id': 11253924, 'reputation': 37, 'user_id': 8254315, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/Fgr3X.jpg?s=256&g=1', 'display_name': 'knk', 'link': 'https://stackoverflow.com/users/8254315/knk'}",False,16,0,0,1695170922,1695170337,1695170922.0,77138648,CC BY-SA 4.0,https://stackoverflow.com/questions/77138648/connecting-sql-database-to-airflow-in-google-cloud-composer,Connecting SQL database to Airflow in Google Cloud Composer,,,,
"['java', 'apache-spark', 'docker-compose', 'dockerfile', 'airflow']","{'account_id': 28997998, 'reputation': 1, 'user_id': 22212208, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTtdgzEF-O6fZq-kKsPH3J0RAM1RXjN_7g_FWt8Dll-9Frw=k-s256', 'display_name': 'Jonathan Feng', 'link': 'https://stackoverflow.com/users/22212208/jonathan-feng'}",False,8,0,0,1695166342,1695166342,,77138501,CC BY-SA 4.0,https://stackoverflow.com/questions/77138501/dockerized-airflow-couldnt-run-spark-jobs,Dockerized Airflow couldn&#39;t run Spark jobs,,,,
"['kubernetes', 'airflow', 'aws-codecommit', 'spark-operator', 'git-sync']","{'account_id': 26391215, 'reputation': 1, 'user_id': 20043048, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e0a904d9b1f57ad6bdc12c32c3cfa857?s=256&d=identicon&r=PG', 'display_name': 'Michel Senra', 'link': 'https://stackoverflow.com/users/20043048/michel-senra'}",False,7,0,0,1695144870,1695144870,,77136765,CC BY-SA 4.0,https://stackoverflow.com/questions/77136765/sync-aws-codecommit-with-gitsync-on-sparkapplicationk8s,Sync AWS CodeCommit with gitsync on SparkApplication+k8s,,,,
"['python', 'python-3.x', 'airflow']","{'account_id': 28075636, 'reputation': 1, 'user_id': 21447546, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AGNmyxbqmW_esmZ1AxBUAZpEM-xJZ5QOimfoDu1f5nFd=k-s256', 'display_name': 'Brian Jones', 'link': 'https://stackoverflow.com/users/21447546/brian-jones'}",True,13,1,0,1695158639,1695138947,1695138997.0,77136152,CC BY-SA 4.0,https://stackoverflow.com/questions/77136152/is-there-a-way-to-bundle-together-airflow-operators-for-re-usability,Is there a way to &quot;bundle&quot; together airflow operators for re-usability?,,,,
"['google-cloud-platform', 'google-api', 'dependencies', 'airflow']","{'account_id': 22087126, 'reputation': 31, 'user_id': 18846600, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6a1ae14caf495cf77be61bf85faf853c?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Paul', 'link': 'https://stackoverflow.com/users/18846600/paul'}",False,9,0,0,1695133295,1695133295,,77135406,CC BY-SA 4.0,https://stackoverflow.com/questions/77135406/airflow-is-not-able-to-work-with-google-dependecies,Airflow is not able to work with Google dependecies,,,,
"['sql', 'snowflake-cloud-data-platform', 'airflow', 'parameter-passing', 'directed-acyclic-graphs']","{'account_id': 13871769, 'reputation': 84, 'user_id': 10014665, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-fFQ4ZAl-PGs/AAAAAAAAAAI/AAAAAAAAAAA/AB6qoq1TJ8TEGm8pqasTamD9ehOIDwptFw/mo/photo.jpg?sz=256', 'display_name': 'MC7836', 'link': 'https://stackoverflow.com/users/10014665/mc7836'}",False,18,0,0,1695106818,1695106818,,77132298,CC BY-SA 4.0,https://stackoverflow.com/questions/77132298/dynamic-date-parameter-in-airflow-dag-for-snowflake-sql-query,Dynamic Date Parameter in Airflow DAG for Snowflake SQL Query,,,,
"['python', 'airflow', 'directed-acyclic-graphs', 'astronomer']","{'account_id': 226479, 'reputation': 2577, 'user_id': 487554, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/a801edc278d37130b08f8170285d3403?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'CodingInCircles', 'link': 'https://stackoverflow.com/users/487554/codingincircles'}",True,75,2,0,1695144312,1695102495,1695112966.0,77131972,CC BY-SA 4.0,https://stackoverflow.com/questions/77131972/unable-to-run-a-simple-airflow-dag-with-bashoperator-calling-python-scripts,Unable to run a simple Airflow DAG with BashOperator calling Python scripts,77132048.0,,,
"['python', 'airflow']","{'account_id': 4498862, 'reputation': 459, 'user_id': 3657967, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://graph.facebook.com/100001086341232/picture?type=large', 'display_name': 'acai', 'link': 'https://stackoverflow.com/users/3657967/acai'}",False,14,0,0,1695061005,1695061005,,77129553,CC BY-SA 4.0,https://stackoverflow.com/questions/77129553/wrong-color-encoding-in-airflow-logs,Wrong Color Encoding In Airflow Logs,,,,
"['airflow', 'directed-acyclic-graphs', 'google-cloud-composer', 'airflow-2.x']","{'account_id': 29475456, 'reputation': 1, 'user_id': 22587313, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ACg8ocI9mugjZnhsv6Wlw3I2eCf4TtEBggdKVQIu6Dilwljx=k-s256', 'display_name': 'Shifa Jada', 'link': 'https://stackoverflow.com/users/22587313/shifa-jada'}",False,9,0,-3,1695056962,1695055432,1695056962.0,77128988,CC BY-SA 4.0,https://stackoverflow.com/questions/77128988/i-have-recently-upgraded-the-cloud-composer-version-and-since-then-every-time-wh,I have recently upgraded the cloud composer version and since then every time when the DAG gets triggered at the scheduled time I get following error,,,,
"['docker', 'pytorch', 'airflow']","{'account_id': 6419747, 'reputation': 48, 'user_id': 16686432, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-tX57blQeEKk/AAAAAAAAAAI/AAAAAAAAADw/jFjWTW9VjLc/photo.jpg?sz=256', 'display_name': 'dmayilyan', 'link': 'https://stackoverflow.com/users/16686432/dmayilyan'}",False,29,0,1,1695054291,1695044289,1695047035.0,77127725,CC BY-SA 4.0,https://stackoverflow.com/questions/77127725/cant-install-pytorch-1-13-1-in-airflow-2-2-5,Can&#39;t install pytorch 1.13.1 in airflow 2.2.5,,,,
"['airflow', 'rbac', 'flask-appbuilder']","{'account_id': 16224543, 'reputation': 2916, 'user_id': 11715259, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7b92f45aa6f528bb1740637848b75504?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'N1ngu', 'link': 'https://stackoverflow.com/users/11715259/n1ngu'}",False,14,0,0,1695032133,1695032133,,77126344,CC BY-SA 4.0,https://stackoverflow.com/questions/77126344/give-access-to-a-set-of-dags-to-a-builtin-readonly-role,Give access to a set of DAGS to a &quot;builtin readonly role&quot;,,,,
['airflow'],"{'account_id': 29469236, 'reputation': 1, 'user_id': 22582153, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ACg8ocKPMiXwbYyn9kH83pzh32NMO2YNIaa7W3YG4OYVYl4F=k-s256', 'display_name': '31 NQ', 'link': 'https://stackoverflow.com/users/22582153/31-nq'}",False,17,0,0,1695004597,1695004408,1695004597.0,77124288,CC BY-SA 4.0,https://stackoverflow.com/questions/77124288/no-module-name-custom-packages,No module name &quot;Custom packages&quot;,,,,
"['airflow', 'airflow-2.x']","{'account_id': 11817347, 'reputation': 548, 'user_id': 8647273, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://i.stack.imgur.com/q6MQT.jpg?s=256&g=1', 'display_name': 'Pallavi', 'link': 'https://stackoverflow.com/users/8647273/pallavi'}",False,17,0,0,1694994722,1694969636,1694994722.0,77122819,CC BY-SA 4.0,https://stackoverflow.com/questions/77122819/smtp-default-connection-is-not-working-in-aws-airflow-service,smtp_default connection is not working in AWS Airflow service,,,,
"['linux', 'docker', 'numpy', 'debian', 'airflow']","{'account_id': 17824711, 'reputation': 71, 'user_id': 12946205, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-p_REQ7ng7jA/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rfEQa4uErPrnS3j7GTT74_64PjcYA/photo.jpg?sz=256', 'display_name': 'Chhandosee Bhattacharya', 'link': 'https://stackoverflow.com/users/12946205/chhandosee-bhattacharya'}",False,37,0,-4,1694945682,1694945682,,77121375,CC BY-SA 4.0,https://stackoverflow.com/questions/77121375/numpy-core-exceptions-arraymemoryerror-unable-to-allocate-73-4-gib-for-an-arr,"numpy.core._exceptions._ArrayMemoryError: Unable to allocate 73.4 GiB for an array with shape (4806656, 2050) and data type float64",,,,
"['airflow', 'airflow-taskflow']","{'account_id': 486226, 'reputation': 27243, 'user_id': 903011, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/6a8f2f5f292c75c5e81a6607530a0ab6?s=256&d=identicon&r=PG', 'display_name': 'WoJ', 'link': 'https://stackoverflow.com/users/903011/woj'}",True,31,1,1,1694989272,1694793559,1694794334.0,77113806,CC BY-SA 4.0,https://stackoverflow.com/questions/77113806/how-to-dispatch-numerous-xcoms-from-a-task-to-another-task,How to dispatch numerous xcoms from a task to another task?,77114006.0,,,
"['python', 'airflow']","{'account_id': 25510110, 'reputation': 1, 'user_id': 19301936, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fbe701143b951e4b5710ed3dff9118c7?s=256&d=identicon&r=PG', 'display_name': 'BenBole', 'link': 'https://stackoverflow.com/users/19301936/benbole'}",False,25,0,0,1694790492,1694790492,,77113489,CC BY-SA 4.0,https://stackoverflow.com/questions/77113489/how-do-i-trigger-an-airflow-dag-run-via-an-airflow-plugin,How do I trigger an Airflow DAG run via an Airflow Plugin?,,,,
"['azure', 'terraform', 'airflow']","{'account_id': 13682618, 'reputation': 121, 'user_id': 9872575, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b0dcb5a45ec0196a0c57efac190f33cc?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'csukcl', 'link': 'https://stackoverflow.com/users/9872575/csukcl'}",False,22,0,0,1694787036,1694787036,,77113079,CC BY-SA 4.0,https://stackoverflow.com/questions/77113079/terraforming-a-managed-instance-of-airflow-on-azure,Terraforming a managed instance of Airflow on Azure,,,,
"['python', 'ssl', 'ssl-certificate', 'airflow']","{'account_id': 22044730, 'reputation': 1, 'user_id': 16309954, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/RHND6.jpg?s=256&g=1', 'display_name': 'F&#225;bio Antunes', 'link': 'https://stackoverflow.com/users/16309954/f%c3%a1bio-antunes'}",False,40,0,0,1694808960,1694721013,1694808960.0,77107980,CC BY-SA 4.0,https://stackoverflow.com/questions/77107980/how-to-handle-ssl-certificate-verify-failed-in-python-to-download-data-properly,How to handle SSL CERTIFICATE_VERIFY_FAILED in Python to download data properly,,,,
