tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id
"['amazon-web-services', 'amazon-ec2', 'amazon-dynamodb', 'pipeline', 'aws-data-pipeline']","{'account_id': 19710151, 'reputation': 209, 'user_id': 14430938, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5e5abd60958cac184dd25d59c716779f?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Zokulko', 'link': 'https://stackoverflow.com/users/14430938/zokulko'}",False,116,1,2,1693910827,1692982355,1693493240.0,76979147,CC BY-SA 4.0,https://stackoverflow.com/questions/76979147/aws-dynamodb-table-not-created-via-ec2-using-aws-pipeline-website-in-maintenan,AWS- DynamoDB table not created via EC2 using AWS pipeline (website in maintenance for DataPipeline service),
"['amazon-ec2', 'aws-data-pipeline']","{'account_id': 10372034, 'reputation': 1, 'user_id': 8505555, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/WOXwF.png?s=256&g=1', 'display_name': 'whitekhoukha', 'link': 'https://stackoverflow.com/users/8505555/whitekhoukha'}",False,22,0,0,1680527023,1680527023,,75919791,CC BY-SA 4.0,https://stackoverflow.com/questions/75919791/aws-data-pipeline-no-policy-attached-to-the-role,AWS Data pipeline: No policy attached to the role,
"['mysql', 'amazon-rds', 'aws-glue', 'aws-data-pipeline']","{'account_id': 15388527, 'reputation': 1, 'user_id': 11101968, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e7ddebeb0de0a168cd5dc734f0f45093?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Xavier Janer', 'link': 'https://stackoverflow.com/users/11101968/xavier-janer'}",False,72,0,0,1680001018,1680001018,,75865363,CC BY-SA 4.0,https://stackoverflow.com/questions/75865363/migrate-an-aws-data-pipeline-incremental-copy-of-rds-table-to-redshift,Migrate an AWS Data Pipeline incremental copy of RDS table to Redshift,
"['amazon-web-services', 'pyspark', 'aws-lambda', 'aws-glue', 'aws-data-pipeline']","{'account_id': 28116151, 'reputation': 1, 'user_id': 21483235, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/15e3cd6cd03db0f4c352b3bb4cf1231a?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'techie2000', 'link': 'https://stackoverflow.com/users/21483235/techie2000'}",False,58,0,0,1679678969,1679678969,,75836649,CC BY-SA 4.0,https://stackoverflow.com/questions/75836649/how-to-migrate-an-aws-data-pipeline-job-that-calls-pg-dump-to-use-maybe-aws-glu,"How to migrate an AWS Data Pipeline job that calls pg_dump, to use maybe AWS Glue or Lambda instead?",
"['python', 'boto3', 'aws-cli', 'aws-data-pipeline']","{'account_id': 27649458, 'reputation': 1, 'user_id': 21104683, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3cdec3e780b7fa2d5ed47932de951056?s=256&d=identicon&r=PG', 'display_name': 'Ayushi', 'link': 'https://stackoverflow.com/users/21104683/ayushi'}",False,50,0,0,1674999885,1674999885,,75275374,CC BY-SA 4.0,https://stackoverflow.com/questions/75275374/finding-error-in-aws-data-pipeline-step-using-cli,Finding error in AWS Data Pipeline step using CLI,
"['amazon-web-services', 'airflow', 'aws-step-functions', 'orchestration', 'aws-data-pipeline']","{'account_id': 24524084, 'reputation': 11, 'user_id': 18436732, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJyFZ_zjGiDYhDdhQTAom0bzrnnk540KPDO7zQth=k-s256', 'display_name': 'Ayushi Bansal', 'link': 'https://stackoverflow.com/users/18436732/ayushi-bansal'}",False,27,0,0,1672148622,1672148622,,74930036,CC BY-SA 4.0,https://stackoverflow.com/questions/74930036/aws-datapipeline-shellcommandactivity-alternative,AWS DataPipeline ShellCommandActivity alternative,
"['aws-glue', 'aws-data-pipeline', 'aws-pipeline']","{'account_id': 26880209, 'reputation': 11, 'user_id': 20460776, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ALm5wu1rT0iVTxqozuFgpM6tyw4Uo-Q4hTjoav6jJsn-=k-s256', 'display_name': 'Rakesh Badal', 'link': 'https://stackoverflow.com/users/20460776/rakesh-badal'}",False,180,0,1,1668010159,1668010159,,74378016,CC BY-SA 4.0,https://stackoverflow.com/questions/74378016/how-to-passing-parameter-to-aws-glue-workflow-using-lambda,How to passing parameter to aws glue workflow using lambda,
"['amazon-cloudwatch', 'aws-glue', 'aws-data-pipeline']","{'account_id': 2514323, 'reputation': 392, 'user_id': 2186087, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/c7b4af3bbf67e8f934470de42f263680?s=256&d=identicon&r=PG', 'display_name': 'Sam', 'link': 'https://stackoverflow.com/users/2186087/sam'}",False,410,1,0,1662107066,1661984793,,73562516,CC BY-SA 4.0,https://stackoverflow.com/questions/73562516/aws-glue-metrics-to-populate-job-name-job-status-start-time-end-time-and-elap,"AWS Glue metrics to populate Job name, job Status, Start time, End time and Elapsed time",
"['typescript', 'amazon-web-services', 'aws-cdk', 'amazon-data-pipeline', 'aws-data-pipeline']","{'account_id': 5139737, 'reputation': 3278, 'user_id': 4117496, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/c2d8b2befcc632c3bb1566e54be54e87?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Fisher Coder', 'link': 'https://stackoverflow.com/users/4117496/fisher-coder'}",True,154,1,0,1661222368,1661200094,,73450672,CC BY-SA 4.0,https://stackoverflow.com/questions/73450672/aws-cdk-datapipeline-how-to-import-an-existing-data-pipeline,AWS CDK DataPipeline how to import an existing data pipeline,
"['amazon-web-services', 'amazon-s3', 'amazon-dynamodb', 'amazon-data-pipeline', 'aws-data-pipeline']","{'account_id': 5139737, 'reputation': 3278, 'user_id': 4117496, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/c2d8b2befcc632c3bb1566e54be54e87?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Fisher Coder', 'link': 'https://stackoverflow.com/users/4117496/fisher-coder'}",True,74,1,0,1661199886,1661016306,1661052737.0,73428745,CC BY-SA 4.0,https://stackoverflow.com/questions/73428745/aws-data-pipeline-keeps-running-into-filealreadyexistsexception,AWS Data Pipeline keeps running into FileAlreadyExistsException,73450649.0
"['amazon-web-services', 'shell', 'amazon-ec2', 'amazon-data-pipeline', 'aws-data-pipeline']","{'account_id': 26103988, 'reputation': 1, 'user_id': 19798945, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b87636c203173a6b19483d7ed75135a9?s=256&d=identicon&r=PG', 'display_name': 'potato', 'link': 'https://stackoverflow.com/users/19798945/potato'}",False,27,1,0,1663866582,1660882820,,73411796,CC BY-SA 4.0,https://stackoverflow.com/questions/73411796/how-can-i-attaching-an-additional-ebs-volume-to-ec2-from-data-pipeline,How can I attaching an additional EBS volume to EC2 from Data Pipeline?,
"['amazon-web-services', 'amazon-s3', 'aws-cloudformation', 'aws-data-pipeline']","{'account_id': 973792, 'reputation': 321, 'user_id': 995716, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8d613a0b298c7826ad18643fe5cd8ef4?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'stowns', 'link': 'https://stackoverflow.com/users/995716/stowns'}",False,47,1,0,1660599216,1660593389,,73365847,CC BY-SA 4.0,https://stackoverflow.com/questions/73365847/aws-datapipeline-via-cloudformation-throws-error-type-is-not-defined-in-fields,AWS DataPipeline via Cloudformation throws error &#39;type is not defined in fields&#39;,
"['amazon-web-services', 'jdbc', 'mysql-connector', 'aws-data-pipeline']","{'account_id': 8002258, 'reputation': 531, 'user_id': 6036687, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://www.gravatar.com/avatar/9d59b2e885fd9343e6269e4e34dc085c?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'topplethepat', 'link': 'https://stackoverflow.com/users/6036687/topplethepat'}",False,196,0,0,1651685687,1651682208,1651685687.0,72116515,CC BY-SA 4.0,https://stackoverflow.com/questions/72116515/unsupportedclassversionerror-with-mysql-jdbc-driver-in-aws-data-pipeline,UnsupportedClassVersionError with mysql jdbc driver in AWS Data Pipeline,
"['bigdata', 'aws-glue', 'amazon-emr', 'amazon-athena', 'aws-data-pipeline']","{'account_id': 24845237, 'reputation': 25, 'user_id': 18722837, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJy0uKEDqeYUR5Pkqkaikms96By2vZmTfFCo_gy3=k-s256', 'display_name': 'Obada Qafisheh', 'link': 'https://stackoverflow.com/users/18722837/obada-qafisheh'}",False,1063,1,0,1649267269,1649236473,1649236792.0,71764062,CC BY-SA 4.0,https://stackoverflow.com/questions/71764062/how-to-update-data-when-loading-it-between-two-s3-buckets-using-aws-glue,How to update data when loading it between two S3 buckets using AWS Glue?,
"['amazon-web-services', 'airflow', 'data-pipeline', 'aws-data-pipeline']","{'account_id': 4487353, 'reputation': 23, 'user_id': 3649519, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/100000234276755/picture?type=large', 'display_name': 'Prakhar Awasthi', 'link': 'https://stackoverflow.com/users/3649519/prakhar-awasthi'}",False,184,1,0,1643295870,1643295575,,70880789,CC BY-SA 4.0,https://stackoverflow.com/questions/70880789/data-pipeline-solution,Data Pipeline Solution,
