tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,protected_date,closed_date,closed_reason
"['azure', 'azure-data-factory', 'azure-databricks', 'azure-data-lake', 'azure-data-lake-gen2']","{'account_id': 28044274, 'reputation': 1, 'user_id': 21421323, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/75f16709b95bc5d9cebc9e047a01bfd2?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'slinger', 'link': 'https://stackoverflow.com/users/21421323/slinger'}",False,17,0,0,1695154641,1695154641,77137724,CC BY-SA 4.0,https://stackoverflow.com/questions/77137724/dataset-connection-in-azure-databricks,Dataset connection in Azure Databricks,,,,,
"['json', 'azure', 'azure-data-factory', 'etl', 'transformation']","{'account_id': 11478337, 'reputation': 9, 'user_id': 8413233, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b5f537b2eb6ed1e0fd98a5bceb9f0074?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Nagarajan Lakshmi Narayanan', 'link': 'https://stackoverflow.com/users/8413233/nagarajan-lakshmi-narayanan'}",False,29,2,-1,1695126458,1695122119,77134054,CC BY-SA 4.0,https://stackoverflow.com/questions/77134054/backslash-automatically-getting-removed-from-the-json-while-reading-and-need-to,Backslash automatically getting removed from the json while reading and need to preseve the backslash - Azure Data Factory,1695123990.0,,,,
"['json', 'azure', 'csv', 'mapping', 'azure-data-factory']","{'account_id': 17015500, 'reputation': 5, 'user_id': 12309502, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-IxXAGrpZ6Zs/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcXiwoHQ2IA3S1ELFYSMxDVhEu1pg/photo.jpg?sz=256', 'display_name': 'user12309502', 'link': 'https://stackoverflow.com/users/12309502/user12309502'}",False,32,0,0,1695119791,1695119642,77133801,CC BY-SA 4.0,https://stackoverflow.com/questions/77133801/json-merged-file-parsed-in-csv-file-in-adf-copy-data-activity,Json merged file parsed in csv file in ADF Copy data activity,1695119791.0,,,,
"['azure-data-factory', 'odata', 'azure-synapse']","{'account_id': 29479088, 'reputation': 11, 'user_id': 22590210, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ACg8ocJGCkKcsIEPO9I5nAsXRgwTx2ErHs_tUaLeG0xFSaUM=k-s256', 'display_name': 'Ralph Koumans', 'link': 'https://stackoverflow.com/users/22590210/ralph-koumans'}",False,15,0,1,1695103845,1695103845,77132052,CC BY-SA 4.0,https://stackoverflow.com/questions/77132052/is-there-a-way-to-extract-a-sapc4c-textvalue-property-with-azure-synapse,Is there a way to extract a SAPC4C textvalue property with Azure Synapse,,,,,
"['azure', 'azure-data-factory', 'databricks', 'azure-databricks']","{'account_id': 20707582, 'reputation': 129, 'user_id': 15205045, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/178302da2ff0df4f726750d17c4ddcc9?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'lifeofthenoobie', 'link': 'https://stackoverflow.com/users/15205045/lifeofthenoobie'}",False,35,1,0,1695098860,1695030951,77126213,CC BY-SA 4.0,https://stackoverflow.com/questions/77126213/sending-databricks-notebook-output-as-json-via-post-in-adf,Sending databricks notebook output as json via POST in ADF,,,,,
"['azure', 'azure-data-factory', 'pipeline', 'oracle-adf']","{'account_id': 28734773, 'reputation': 15, 'user_id': 22005998, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/599cc054971d3bb8b511a80aa6e39f08?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Nezko1', 'link': 'https://stackoverflow.com/users/22005998/nezko1'}",False,41,1,0,1695030434,1695018771,77124987,CC BY-SA 4.0,https://stackoverflow.com/questions/77124987/how-to-send-mail-if-adf-pipeline-runs-more-then-10mins,How to send mail if ADF Pipeline runs more then 10mins,,,,,
['azure-data-factory'],"{'account_id': 29470035, 'reputation': 1, 'user_id': 22582802, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ACg8ocLme79Nh66wkgRwUQZ6jwDxNbZTEGRy72k97VrVwp7e=k-s256', 'display_name': 'shaunmw', 'link': 'https://stackoverflow.com/users/22582802/shaunmw'}",False,20,0,0,1695012632,1695012632,77124623,CC BY-SA 4.0,https://stackoverflow.com/questions/77124623/azure-data-factory-copy-activity-404-error,Azure Data Factory Copy Activity 404 Error,,,,,
"['sql-server', 'azure', 'azure-data-factory']","{'account_id': 29467413, 'reputation': 1, 'user_id': 22580727, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ACg8ocKFQMs5BucADDuttzepNlXsygdgwiWoU_znZI6mHYNC=k-s256', 'display_name': 'RAP', 'link': 'https://stackoverflow.com/users/22580727/rap'}",False,36,1,0,1695022885,1694974200,77123057,CC BY-SA 4.0,https://stackoverflow.com/questions/77123057/adf-copy-dynamic-datatype-change-in-loop-for-multiple-table,ADF Copy Dynamic Datatype Change in Loop for multiple table,,,,,
"['azure-data-factory', 'google-cloud-dataflow', 'data-transform']","{'account_id': 29457545, 'reputation': 9, 'user_id': 22573041, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ACg8ocLtVLZYUk4BtCTzBmN2D6ucIDDJ4oAUGsj01emMadRq=k-s256', 'display_name': 'MEGHNA GAIROLA', 'link': 'https://stackoverflow.com/users/22573041/meghna-gairola'}",False,29,0,0,1694872011,1694843058,77116511,CC BY-SA 4.0,https://stackoverflow.com/questions/77116511/creating-an-additional-column-in-sink-using-logic-that-involves-three-different,Creating an additional column in sink using logic that involves three different columns from three different source tables respectively,1694872011.0,,,,
"['pyspark', 'azure-data-factory', 'azure-databricks']","{'account_id': 3434968, 'reputation': 273, 'user_id': 2878290, 'user_type': 'registered', 'accept_rate': 11, 'profile_image': 'https://www.gravatar.com/avatar/ccc8b44c9f0b68d5ed43981f31cfaae6?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Developer KE', 'link': 'https://stackoverflow.com/users/2878290/developer-ke'}",False,31,1,0,1695107540,1694801778,77114598,CC BY-SA 4.0,https://stackoverflow.com/questions/77114598/azure-data-factory-parquet-file-read-non-primitive-issues,Azure Data Factory Parquet File Read non-primitive issues,,,,,
