tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,closed_date,closed_reason,protected_date
"['azure', 'azure-data-factory', 'azure-databricks', 'azure-data-lake', 'azure-data-lake-gen2']","{'account_id': 28044274, 'reputation': 1, 'user_id': 21421323, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/75f16709b95bc5d9cebc9e047a01bfd2?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'slinger', 'link': 'https://stackoverflow.com/users/21421323/slinger'}",False,17,0,0,1695154641,1695154641,77137724,CC BY-SA 4.0,https://stackoverflow.com/questions/77137724/dataset-connection-in-azure-databricks,Dataset connection in Azure Databricks,,,,,
"['azure-data-lake-gen2', 'azure-log-analytics-workspace']","{'account_id': 11975541, 'reputation': 1, 'user_id': 8762760, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/261c979eea17efdd0d30ac5c6225996e?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Kallinkeel', 'link': 'https://stackoverflow.com/users/8762760/kallinkeel'}",False,16,0,0,1694789121,1694789121,77113332,CC BY-SA 4.0,https://stackoverflow.com/questions/77113332/user-specific-details-from-log-analytics-workspace-for-adls,User specific details from log analytics workspace for ADLS,,,,,
"['r', 'rstudio', 'azure-data-lake-gen2', 'azure-storage-account', 'azure-authentication']","{'account_id': 18606086, 'reputation': 83, 'user_id': 13559669, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e05c208934b32f33a21bc82c4bd23b04?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'el_pazzu', 'link': 'https://stackoverflow.com/users/13559669/el-pazzu'}",False,45,1,0,1694688830,1694674364,77102449,CC BY-SA 4.0,https://stackoverflow.com/questions/77102449/azurestor-device-code-authentication-to-read-csv-in-adls,AzureStor: Device code authentication to read csv in ADLS,1694677602.0,,,,
"['azure-data-factory', 'azure-data-lake-gen2']","{'account_id': 29274324, 'reputation': 1, 'user_id': 22428402, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/df77280d717d123ffce90ae327fbdb80?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'user22428402', 'link': 'https://stackoverflow.com/users/22428402/user22428402'}",False,56,1,0,1694413207,1694354177,77076415,CC BY-SA 4.0,https://stackoverflow.com/questions/77076415/joining-multiple-sub-folders-inside-an-azure-datalake-using-adf-join,Joining multiple sub folders inside an azure datalake using adf join,1694355242.0,,,,
"['azure-data-factory', 'azure-synapse', 'azure-data-lake-gen2', 'microsoft-fabric']","{'account_id': 29247102, 'reputation': 11, 'user_id': 22407300, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTtcEkNqrUXzGwXlZajdcmCHsxjbBhyKAijJcvtWEyP0S=k-s256', 'display_name': 'ms reddy', 'link': 'https://stackoverflow.com/users/22407300/ms-reddy'}",False,65,0,0,1694108750,1694108750,77061811,CC BY-SA 4.0,https://stackoverflow.com/questions/77061811/copy-data-failing-due-to-no-new-records-found-in-source,Copy Data failing due to no new records found in source,,,,,
"['python', 'azure', 'sas', 'azure-data-lake-gen2']","{'account_id': 15797752, 'reputation': 946, 'user_id': 11399142, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ad82f16fcd031d4e858cd480e92b68a1?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'elyptikus', 'link': 'https://stackoverflow.com/users/11399142/elyptikus'}",True,142,2,0,1693446988,1693313578,77000400,CC BY-SA 4.0,https://stackoverflow.com/questions/77000400/list-and-download-files-in-a-folder-in-a-blob-with-blob-level-sas-token,List and download files in a folder in a blob with blob level SAS token,,77007859.0,,,
"['azure', 'powerbi', 'azure-data-factory', 'azure-data-lake-gen2']","{'account_id': 26890572, 'reputation': 1, 'user_id': 20469412, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c9675c0f3bb43dae45aa355a5784587c?s=256&d=identicon&r=PG', 'display_name': 'Scott Thompson', 'link': 'https://stackoverflow.com/users/20469412/scott-thompson'}",False,73,1,0,1693558094,1693310762,77000051,CC BY-SA 4.0,https://stackoverflow.com/questions/77000051/adf-import-a-csv-file-that-has-multiple-tables,ADF - Import a CSV file that has multiple Tables,1693452482.0,,,,
"['http', 'pdf', 'cookies', 'azure-data-factory', 'azure-data-lake-gen2']","{'account_id': 14214591, 'reputation': 125, 'user_id': 10268851, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5ce016027ae68d2a1dd5efc108c50c20?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Javier de la Iglesia ', 'link': 'https://stackoverflow.com/users/10268851/javier-de-la-iglesia'}",True,71,1,0,1693291232,1692884467,76969906,CC BY-SA 4.0,https://stackoverflow.com/questions/76969906/download-pdf-from-url-with-cookie-and-move-to-adls-using-data-factory,Download PDF from URL with cookie and move to ADLS using Data Factory,1692953846.0,,,,
"['python-3.x', 'azure-data-factory', 'azure-data-lake-gen2']","{'account_id': 6748988, 'reputation': 604, 'user_id': 5199660, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/V5Q89.jpg?s=256&g=1', 'display_name': 'Eve', 'link': 'https://stackoverflow.com/users/5199660/eve'}",True,89,1,0,1692709237,1692701679,76952568,CC BY-SA 4.0,https://stackoverflow.com/questions/76952568/azure-data-factory-update-csv-file-on-azure-storage-with-azure-batch-custom-st,Azure Data Factory: Update .csv file on Azure Storage with Azure Batch Custom step with Python,,,,,
"['azure', 'azure-data-factory', 'azure-data-lake-gen2']","{'account_id': 28148477, 'reputation': 5, 'user_id': 21510438, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AGNmyxboBtvjABcwLYK7pRaB8J_rJ_Sr5Lc3kWonWwZJ=k-s256', 'display_name': 'Chinnu', 'link': 'https://stackoverflow.com/users/21510438/chinnu'}",True,45,1,-1,1692667808,1692598862,76942803,CC BY-SA 4.0,https://stackoverflow.com/questions/76942803/how-to-rerun-the-failed-pipeline-in-azure-data-factoryi-want-only-run-failed-ac,How to rerun the failed pipeline in azure data factory(i want only run failed activity),1692667808.0,,,,
"['database', 'azure', 'databricks', 'azure-data-lake-gen2', 'azure-cost-calculation']","{'account_id': 6317019, 'reputation': 21, 'user_id': 4906585, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-apJd-mzp2mQ/AAAAAAAAAAI/AAAAAAAAA3o/0hRFDvy_myY/photo.jpg?sz=256', 'display_name': 'surya prakash', 'link': 'https://stackoverflow.com/users/4906585/surya-prakash'}",True,76,1,-1,1694099437,1692380654,76931550,,https://stackoverflow.com/questions/76931550/best-architecture-for-small-to-media-data-project-in-azure-cloud,Best architecture for small to media data Project in Azure cloud,1694099437.0,76932657.0,1694011807.0,Opinion-based,
"['azure-data-factory', 'azure-databricks', 'azure-data-lake-gen2']","{'account_id': 3434968, 'reputation': 273, 'user_id': 2878290, 'user_type': 'registered', 'accept_rate': 11, 'profile_image': 'https://www.gravatar.com/avatar/ccc8b44c9f0b68d5ed43981f31cfaae6?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Developer KE', 'link': 'https://stackoverflow.com/users/2878290/developer-ke'}",False,99,1,0,1692947767,1692343891,76927267,CC BY-SA 4.0,https://stackoverflow.com/questions/76927267/how-to-use-azure-databricks-delta-lake-linked-service-to-insert-or-update-data-i,How to use Azure Databricks Delta Lake Linked Service to Insert or update data in Delta table,1692350819.0,,,,
"['azure', 'azure-data-factory', 'azure-databricks', 'azure-data-lake-gen2']","{'account_id': 26916215, 'reputation': 121, 'user_id': 20490950, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ALm5wu2FzqEc8f0Cxr0TQeTcatLlR71ZN6WDdXRfpBCslQ=k-s256', 'display_name': 'AzSurya Teja', 'link': 'https://stackoverflow.com/users/20490950/azsurya-teja'}",True,56,1,0,1692270542,1692196672,76914630,CC BY-SA 4.0,https://stackoverflow.com/questions/76914630/how-to-group-by-the-empty-cell-col-also-in-the-final-result-of-aggregation-in-a,"How to group by the empty cell col ,also in the final result of aggregation in Azure Data Flow",1692245290.0,76918923.0,,,
"['pyspark', 'etl', 'azure-databricks', 'azure-data-lake-gen2']","{'account_id': 27829720, 'reputation': 1, 'user_id': 21248366, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7e0b5366930cb0ba08d53d52785af000?s=256&d=identicon&r=PG', 'display_name': 'Asad', 'link': 'https://stackoverflow.com/users/21248366/asad'}",False,38,1,0,1692085655,1692035801,76901187,CC BY-SA 4.0,https://stackoverflow.com/questions/76901187/writing-parquet-data-from-azure-databricks-into-data-lake-gen2-error,Writing parquet data from Azure Databricks into data lake gen2 Error,1692082609.0,,,,
"['pyspark', 'azure-synapse', 'azure-data-lake-gen2']","{'account_id': 2528674, 'reputation': 1065, 'user_id': 2197446, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/957aee5df82459e40c5a81949a3558bf?s=256&d=identicon&r=PG', 'display_name': 'user2197446', 'link': 'https://stackoverflow.com/users/2197446/user2197446'}",True,66,1,0,1692023090,1691786738,76886565,CC BY-SA 4.0,https://stackoverflow.com/questions/76886565/delete-rows-from-a-parquet-table-using-pyspark-using-storage-account-trigger,Delete rows from a parquet table using Pyspark using storage account trigger,,,,,
"['azure', 'azure-data-factory', 'azure-databricks', 'azure-data-lake-gen2']","{'account_id': 26916215, 'reputation': 121, 'user_id': 20490950, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ALm5wu2FzqEc8f0Cxr0TQeTcatLlR71ZN6WDdXRfpBCslQ=k-s256', 'display_name': 'AzSurya Teja', 'link': 'https://stackoverflow.com/users/20490950/azsurya-teja'}",False,65,1,0,1692184244,1691758929,76883770,CC BY-SA 4.0,https://stackoverflow.com/questions/76883770/how-to-set-default-precision-for-double-and-float-values-while-reading-the-file,How to set default precision for double and float values while reading the file in Azure Data Flow,,,,,
"['c#', 'azure', '.net-core', 'azure-data-lake-gen2']","{'account_id': 264378, 'reputation': 339, 'user_id': 550621, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/ae39065f6ef5107f9b7b0db50a17776f?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'zBomb', 'link': 'https://stackoverflow.com/users/550621/zbomb'}",True,97,2,0,1691809719,1691729628,76880766,CC BY-SA 4.0,https://stackoverflow.com/questions/76880766/c-call-to-datalakedirectoryclient-createsubdirectoryasync-creating-sub-director,C# call to DataLakeDirectoryClient.CreateSubDirectoryAsync creating sub directory and zero byte file with same name,1691764697.0,76887591.0,,,
"['pyspark', 'databricks', 'azure-databricks', 'delta-lake', 'azure-data-lake-gen2']","{'account_id': 17828049, 'reputation': 15, 'user_id': 12948786, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-ogJJ27f5LV4/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3reenLVK05p1tF_6-_3meenX_JvtJg/photo.jpg?sz=256', 'display_name': 'archjkeee', 'link': 'https://stackoverflow.com/users/12948786/archjkeee'}",False,50,2,0,1691403140,1691373081,76848395,CC BY-SA 4.0,https://stackoverflow.com/questions/76848395/databricks-save-dataframe-without-creating-subfolder,Databricks save dataframe without creating subfolder,,,,,
"['apache-spark', 'databricks', 'parquet', 'azure-data-lake-gen2']","{'account_id': 17828049, 'reputation': 15, 'user_id': 12948786, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-ogJJ27f5LV4/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3reenLVK05p1tF_6-_3meenX_JvtJg/photo.jpg?sz=256', 'display_name': 'archjkeee', 'link': 'https://stackoverflow.com/users/12948786/archjkeee'}",False,68,3,0,1692403606,1691359282,76847933,CC BY-SA 4.0,https://stackoverflow.com/questions/76847933/how-to-understand-by-the-structure-of-parquet-files-whether-they-are-partitions,How to understand by the structure of parquet files whether they are partitions or separate files,1691359623.0,,,,
"['azure-blob-storage', 'azure-data-explorer', 'azure-data-lake-gen2']","{'account_id': 11629328, 'reputation': 626, 'user_id': 8518092, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-0SPNOt9V5nU/AAAAAAAAAAI/AAAAAAAAAPU/OQvYQ2BrXj8/photo.jpg?sz=256', 'display_name': 'Shobhit Kumar', 'link': 'https://stackoverflow.com/users/8518092/shobhit-kumar'}",True,53,1,0,1690481857,1690480127,76782289,CC BY-SA 4.0,https://stackoverflow.com/questions/76782289/what-are-the-permissions-needed-to-access-blob-from-kusto-python-sdk,What are the permissions needed to access blob from Kusto Python SDK?,1690481225.0,,,,
"['database-design', 'bigdata', 'azure-databricks', 'azure-synapse', 'azure-data-lake-gen2']","{'account_id': 23271600, 'reputation': 9, 'user_id': 17356356, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJw1DA6FRKL3t2hk6rVqr0AaApLLa93IobbAQ6n8=k-s256', 'display_name': 'subham das', 'link': 'https://stackoverflow.com/users/17356356/subham-das'}",False,66,2,-1,1690397128,1690264210,76759774,CC BY-SA 4.0,https://stackoverflow.com/questions/76759774/need-to-find-a-design-plan-to-this-problem-related-to-a-real-time-scenarios-any,Need to find a design plan to this problem related to a real time scenarios. Any ideas are appreciated. Thanks,1690267148.0,,,,
"['tsql', 'parquet', 'azure-synapse', 'azure-data-lake-gen2']","{'account_id': 20151356, 'reputation': 670, 'user_id': 14778590, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhB8P8ugRAKynRAbdB7qi3MqKOijnEHRYy_WTO4yA=k-s256', 'display_name': 'Aku', 'link': 'https://stackoverflow.com/users/14778590/aku'}",True,100,1,0,1690268564,1690210758,76755699,CC BY-SA 4.0,https://stackoverflow.com/questions/76755699/create-external-table-with-datetime-date-column-from-parquet-with-synapse,create external table with datetime/date-column from parquet with Synapse,,76760173.0,,,
"['azure', 'azure-data-factory', 'azure-data-lake-gen2']","{'account_id': 12016295, 'reputation': 1, 'user_id': 8791330, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4e27021e94eee4e9d97d8491d489566d?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'iSunmi', 'link': 'https://stackoverflow.com/users/8791330/isunmi'}",False,50,0,0,1690206716,1690202498,76754605,CC BY-SA 4.0,https://stackoverflow.com/questions/76754605/how-can-i-use-a-file-csv-from-adls-and-use-it-as-a-request-body-for-adf-web-ac,How can I use a file (csv) from ADLS and use it as a request body for ADF web activity?,1690206716.0,,,,
"['azure', 'azure-data-factory', 'azure-data-lake-gen2']","{'account_id': 26916215, 'reputation': 121, 'user_id': 20490950, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ALm5wu2FzqEc8f0Cxr0TQeTcatLlR71ZN6WDdXRfpBCslQ=k-s256', 'display_name': 'AzSurya Teja', 'link': 'https://stackoverflow.com/users/20490950/azsurya-teja'}",False,53,1,0,1689663472,1689615366,76706872,CC BY-SA 4.0,https://stackoverflow.com/questions/76706872/copy-activity-giving-error-when-i-change-to-actual-sql-datatype-in-source-datase,Copy activity giving error when I change to actual sql datatype in Source dataset,1689626247.0,,,,
