tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,protected_date
"['azure', 'azure-data-factory', 'azure-databricks', 'azure-data-lake', 'azure-data-lake-gen2']","{'account_id': 28044274, 'reputation': 1, 'user_id': 21421323, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/75f16709b95bc5d9cebc9e047a01bfd2?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'slinger', 'link': 'https://stackoverflow.com/users/21421323/slinger'}",False,16,0,0,1695154641,1695154641,77137724,CC BY-SA 4.0,https://stackoverflow.com/questions/77137724/dataset-connection-in-azure-databricks,Dataset connection in Azure Databricks,,,,,
"['azure-data-factory', 'azure-data-lake']","{'account_id': 29370193, 'reputation': 1, 'user_id': 22502964, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTtc_azCtJMrH29iGGWnfcXa51SFLk6gjUT-yhXub62jc1kY=k-s256', 'display_name': 'Ahmer Zunair', 'link': 'https://stackoverflow.com/users/22502964/ahmer-zunair'}",False,37,0,0,1693909673,1693909673,77043706,CC BY-SA 4.0,https://stackoverflow.com/questions/77043706/can-we-use-cosmosdb-emulator-in-azure-data-factory,can we use cosmosdb emulator in azure data factory?,,,,,
"['python-3.x', 'azure', 'azure-data-lake']","{'account_id': 13400677, 'reputation': 87, 'user_id': 9670318, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-wFykA4jC0PU/AAAAAAAAAAI/AAAAAAAABo0/BSdvQzelZys/photo.jpg?sz=256', 'display_name': 'Steven Teglman', 'link': 'https://stackoverflow.com/users/9670318/steven-teglman'}",True,53,1,0,1693828622,1693497490,77017525,CC BY-SA 4.0,https://stackoverflow.com/questions/77017525/is-it-possible-to-set-the-chunk-size-when-downloading-from-an-azure-datalake,Is it possible to set the chunk size when downloading from an Azure Datalake?,77037490.0,,,,
"['azure', 'cluster-computing', 'azure-databricks', 'azure-data-lake']","{'account_id': 20019341, 'reputation': 43, 'user_id': 14707150, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/caea75b7e29896d16cb686b543eb1154?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'rutgerv', 'link': 'https://stackoverflow.com/users/14707150/rutgerv'}",False,19,1,0,1693525314,1693493900,77017027,CC BY-SA 4.0,https://stackoverflow.com/questions/77017027/azure-databricks-cluster-configurations,Azure Databricks cluster configurations,,,,,
"['azure', 'azure-data-lake', 'azure-machine-learning-service']","{'account_id': 18871515, 'reputation': 35, 'user_id': 13765972, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GgNryGyw4urzbY7dgVJhZhVcGl8uZurDumpHTyWXw=k-s256', 'display_name': 'David Sousa', 'link': 'https://stackoverflow.com/users/13765972/david-sousa'}",True,51,1,0,1693487223,1693452331,77012681,CC BY-SA 4.0,https://stackoverflow.com/questions/77012681/write-file-in-azure-datalake-in-azureml,Write file in Azure DataLake in AzureML,77015902.0,1693487223.0,,,
"['r', 'azure', 'azure-blob-storage', 'rstudio', 'azure-data-lake']","{'account_id': 18606086, 'reputation': 83, 'user_id': 13559669, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e05c208934b32f33a21bc82c4bd23b04?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'el_pazzu', 'link': 'https://stackoverflow.com/users/13559669/el-pazzu'}",True,84,1,0,1693385409,1693324814,77001827,CC BY-SA 4.0,https://stackoverflow.com/questions/77001827/use-azurestor-r-library-to-interact-with-adlsgen2-resource,Use AzureStor R library to interact with ADLSgen2 resource,77006374.0,1693329391.0,,,
"['dataframe', 'scala', 'apache-spark', 'azure-data-lake', 'delta-lake']","{'account_id': 17292359, 'reputation': 37, 'user_id': 12523694, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-JCnHbzZi2Vk/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdm-se-k9G846r_kaGja-f1T0yf4g/photo.jpg?sz=256', 'display_name': 'Oliwier Mroczkowski', 'link': 'https://stackoverflow.com/users/12523694/oliwier-mroczkowski'}",True,55,1,0,1693308605,1693256366,76995982,CC BY-SA 4.0,https://stackoverflow.com/questions/76995982/how-to-extract-value-from-a-spark-dataframe-and-add-it-to-a-second-one-as-a-colu,How to extract value from a spark dataframe and add it to a second one as a column?,76999797.0,,,,
"['sql', 'window-functions', 'azure-data-lake', 'delta-lake']","{'account_id': 17292359, 'reputation': 37, 'user_id': 12523694, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-JCnHbzZi2Vk/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdm-se-k9G846r_kaGja-f1T0yf4g/photo.jpg?sz=256', 'display_name': 'Oliwier Mroczkowski', 'link': 'https://stackoverflow.com/users/12523694/oliwier-mroczkowski'}",True,50,1,-4,1693245617,1693235286,76994021,,https://stackoverflow.com/questions/76994021/how-to-write-sql-query-to-read-most-recent-timestamps-using-window-function,How to write SQL query to read most recent timestamps (using window function)?,76994049.0,1693245617.0,1693257162.0,Needs details or clarity,
"['database', 'azure-data-lake', 'delta-lake', 'database-partitioning']","{'account_id': 17292359, 'reputation': 37, 'user_id': 12523694, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-JCnHbzZi2Vk/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdm-se-k9G846r_kaGja-f1T0yf4g/photo.jpg?sz=256', 'display_name': 'Oliwier Mroczkowski', 'link': 'https://stackoverflow.com/users/12523694/oliwier-mroczkowski'}",False,23,0,0,1693256592,1693225138,76992731,CC BY-SA 4.0,https://stackoverflow.com/questions/76992731/how-to-partition-a-table-with-different-ingestion-sources-and-volumes,How to partition a table with different ingestion sources and volumes?,,1693256592.0,,,
"['python', 'azure-data-lake']","{'account_id': 14466778, 'reputation': 15, 'user_id': 10449896, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c1612cf9b1f101b78913368c1756fb5b?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Saurabh Verma', 'link': 'https://stackoverflow.com/users/10449896/saurabh-verma'}",True,70,1,0,1692875761,1692804181,76962798,CC BY-SA 4.0,https://stackoverflow.com/questions/76962798/reading-csv-files-from-datalake-into-python-flask-application,Reading CSV files from DataLake into Python Flask Application,76968721.0,1692807975.0,,,
