tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,closed_date,closed_reason
"['pyspark', 'azure-synapse']","{'account_id': 948131, 'reputation': 108262, 'user_id': 1000343, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://i.stack.imgur.com/9nAwS.jpg?s=256&g=1', 'display_name': 'Tyler Rinker', 'link': 'https://stackoverflow.com/users/1000343/tyler-rinker'}",False,38,0,2,1695146339,1695146339,77136909,CC BY-SA 4.0,https://stackoverflow.com/questions/77136909/read-a-notebook-in-as-plain-text,Read a notebook in as plain text,,,,
"['tsql', 'serverless', 'azure-synapse']","{'account_id': 17366062, 'reputation': 567, 'user_id': 12581188, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/GlE3U.jpg?s=256&g=1', 'display_name': 'Jem', 'link': 'https://stackoverflow.com/users/12581188/jem'}",False,30,0,0,1695123239,1695121868,77134025,CC BY-SA 4.0,https://stackoverflow.com/questions/77134025/how-to-use-sql-function-output-in-a-cte-in-serverless-sql,How to use SQL function output in a cte in Serverless SQL?,1695123239.0,,,
"['azure', 'common-table-expression', 'azure-synapse']","{'account_id': 29479613, 'reputation': 1, 'user_id': 22590657, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ACg8ocLIbu8OAZG-aLbwEQmjNQIzNOeztc6pL08UZLPn-JjLcg=k-s256', 'display_name': 'Alex Darling Cpt Darling', 'link': 'https://stackoverflow.com/users/22590657/alex-darling-cpt-darling'}",False,22,1,0,1695114588,1695108176,77132439,CC BY-SA 4.0,https://stackoverflow.com/questions/77132439/how-do-we-create-a-range-of-dates-using-generate-series-or-cte-in-azure-synapse,How do we create a range of dates using Generate_Series or CTE in Azure Synapse,,,,
"['azure-synapse', 'archive', 'delta']","{'account_id': 5526771, 'reputation': 29, 'user_id': 4388023, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b0e1e0b15f75040f6e600c4c441789a6?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'parul jain', 'link': 'https://stackoverflow.com/users/4388023/parul-jain'}",False,32,1,0,1695121576,1695104820,77132125,CC BY-SA 4.0,https://stackoverflow.com/questions/77132125/archiving-purging-in-delta-tables-in-azure-synapse-without-using-databricks,Archiving/Purging in Delta Tables in Azure Synapse (without using Databricks),,,,
"['azure-data-factory', 'odata', 'azure-synapse']","{'account_id': 29479088, 'reputation': 11, 'user_id': 22590210, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ACg8ocJGCkKcsIEPO9I5nAsXRgwTx2ErHs_tUaLeG0xFSaUM=k-s256', 'display_name': 'Ralph Koumans', 'link': 'https://stackoverflow.com/users/22590210/ralph-koumans'}",False,15,0,1,1695103845,1695103845,77132052,CC BY-SA 4.0,https://stackoverflow.com/questions/77132052/is-there-a-way-to-extract-a-sapc4c-textvalue-property-with-azure-synapse,Is there a way to extract a SAPC4C textvalue property with Azure Synapse,,,,
"['sql', 'azure-synapse']","{'account_id': 28843496, 'reputation': 9, 'user_id': 22091096, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9c09da64aabcea7f9c39a0660b7aed3e?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'John', 'link': 'https://stackoverflow.com/users/22091096/john'}",False,18,0,-1,1694895652,1694895652,77119469,CC BY-SA 4.0,https://stackoverflow.com/questions/77119469/how-to-continue-executing-a-stored-procedure-after-error-is-logged-in-the-catch,How to continue executing a stored procedure after error is logged in the CATCH block in runtime,,,,
"['azure', 'azure-synapse']","{'account_id': 20310042, 'reputation': 107, 'user_id': 14897335, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/af53d2234fc06c654af81d2dcfcca7d0?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'JabbaThePadd', 'link': 'https://stackoverflow.com/users/14897335/jabbathepadd'}",False,34,0,0,1694869673,1694869673,77117900,CC BY-SA 4.0,https://stackoverflow.com/questions/77117900/lakehouse-architecture-using-azure-synapse,Lakehouse architecture using Azure Synapse,,,,
"['azure', 'azure-synapse', 'azure-durable-functions']","{'account_id': 137987, 'reputation': 151, 'user_id': 342610, 'user_type': 'registered', 'accept_rate': 29, 'profile_image': 'https://www.gravatar.com/avatar/8b268c16a26fc80ab9a607ae73e70b3a?s=256&d=identicon&r=PG', 'display_name': 'LucID', 'link': 'https://stackoverflow.com/users/342610/lucid'}",False,28,0,0,1694813719,1694813719,77115469,CC BY-SA 4.0,https://stackoverflow.com/questions/77115469/do-20mln-of-rest-api-calls-using-azure-cloud-infrastructure,Do 20mln of REST API calls using Azure Cloud infrastructure,,,,
"['azure-synapse', 'azure-synapse-pipeline']","{'account_id': 264378, 'reputation': 339, 'user_id': 550621, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/ae39065f6ef5107f9b7b0db50a17776f?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'zBomb', 'link': 'https://stackoverflow.com/users/550621/zbomb'}",False,33,1,0,1695146705,1694809257,77115154,CC BY-SA 4.0,https://stackoverflow.com/questions/77115154/synapse-pipeline-activities-sql-pool-stored-procedure-vs-generic-stored-procedu,Synapse pipeline activities: SQL pool stored procedure vs generic stored procedure,,,,
"['azure', 'azure-data-factory', 'azure-synapse']","{'account_id': 19077395, 'reputation': 1614, 'user_id': 13930389, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6e6246aa665e8dab2b9d4fef084ce3e8?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'eduardokapp', 'link': 'https://stackoverflow.com/users/13930389/eduardokapp'}",True,44,1,0,1694775567,1694708495,77106775,CC BY-SA 4.0,https://stackoverflow.com/questions/77106775/how-to-specify-table-distribution-for-auto-create-table-in-azure-datafactory-cop,How to specify table distribution for auto create table in Azure DataFactory copy activity?,,77111790.0,,
"['azure-data-factory', 'azure-synapse', 'azure-mapping-data-flow']","{'account_id': 21724712, 'reputation': 97, 'user_id': 16034298, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJypzH7HKJPa6C_FVxXCmWIfm4jdRMRCHKgXgn50pg=k-s256', 'display_name': 'Shanmukh S', 'link': 'https://stackoverflow.com/users/16034298/shanmukh-s'}",False,31,0,0,1694684072,1694684072,77103582,CC BY-SA 4.0,https://stackoverflow.com/questions/77103582/i-am-trying-to-write-data-to-synpase-table-using-mapping-data-flow-in-azure-data,I am trying to write data to synpase table using Mapping Data flow in Azure Data Factory. Can anyone help me on this issue,,,,
"['excel', 'azure-data-factory', 'azure-synapse', 'azure-synapse-pipeline']","{'account_id': 2528674, 'reputation': 1065, 'user_id': 2197446, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/957aee5df82459e40c5a81949a3558bf?s=256&d=identicon&r=PG', 'display_name': 'user2197446', 'link': 'https://stackoverflow.com/users/2197446/user2197446'}",False,38,0,0,1694639972,1694639972,77100567,CC BY-SA 4.0,https://stackoverflow.com/questions/77100567/using-azure-synapse-to-load-data-from-an-excel-spreadsheet,Using Azure Synapse to Load data from an Excel Spreadsheet,,,,
"['python', 'apache-spark', 'pyspark', 'azure-synapse']","{'account_id': 1150769, 'reputation': 2535, 'user_id': 1132544, 'user_type': 'registered', 'accept_rate': 29, 'profile_image': 'https://www.gravatar.com/avatar/177a2b40a5496ad74cb45ee5e1e7954c?s=256&d=identicon&r=PG', 'display_name': 'Gerrit', 'link': 'https://stackoverflow.com/users/1132544/gerrit'}",False,64,1,0,1694694918,1694615496,77098066,CC BY-SA 4.0,https://stackoverflow.com/questions/77098066/why-do-i-miss-rows-if-i-split-a-dataframe-on-a-condition-and-the-opposite,Why do I miss rows if I split a dataframe on a condition and the opposite?,,,,
"['python', 'azure-synapse', 'azure-notebooks']","{'account_id': 4846374, 'reputation': 2533, 'user_id': 3909896, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/JE3ys.jpg?s=256&g=1', 'display_name': 'Cribber', 'link': 'https://stackoverflow.com/users/3909896/cribber'}",False,26,0,0,1694605640,1694605640,77096799,CC BY-SA 4.0,https://stackoverflow.com/questions/77096799/synapse-notebook-runnotebookapierror-size-of-notebook-content-and-exit-value,Synapse Notebook - RunNotebookApiError: Size of notebook content and exit value must be less than 8MB,,,,
"['azure', 'azure-logic-apps', 'azure-synapse']","{'account_id': 20087428, 'reputation': 375, 'user_id': 14728691, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fa9afd9e879c91b17a6fbc561365bd60?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'jos97', 'link': 'https://stackoverflow.com/users/14728691/jos97'}",True,65,1,0,1694668712,1694589970,77094901,CC BY-SA 4.0,https://stackoverflow.com/questions/77094901/how-to-copy-files-from-sharepoint-to-data-lake-storage,How to copy files from sharepoint to data lake storage?,,,,
"['python', 'sql-server', 'encryption', 'azure-keyvault', 'azure-synapse']","{'account_id': 29428875, 'reputation': 1, 'user_id': 22548946, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ACg8ocK-K7uyoZSZmU1lwltL6Porgf85JKPFMtSTmri_L1OfXg=k-s256', 'display_name': 'Sankaran Sivaramasubramanian', 'link': 'https://stackoverflow.com/users/22548946/sankaran-sivaramasubramanian'}",False,49,0,-1,1694590522,1694588430,77094740,,https://stackoverflow.com/questions/77094740/can-i-encrypt-data-in-databricks-python-and-decrypt-the-same-data-in-sql-server,Can I Encrypt data in Databricks Python and decrypt the same data in SQL server?,1694590522.0,,1694663381.0,Needs more focus
"['azure', 'azure-synapse', 'spark-notebook']","{'account_id': 29426660, 'reputation': 1, 'user_id': 22547186, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/daba8e3d6b1628fddcc8ea9f12355faa?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'paige', 'link': 'https://stackoverflow.com/users/22547186/paige'}",False,40,0,0,1694566952,1694561044,77093188,CC BY-SA 4.0,https://stackoverflow.com/questions/77093188/can-i-parameterize-the-mssparkutils-fs-mount-statement,Can I parameterize the mssparkutils.fs.mount statement?,1694566952.0,,,
"['database', 'azure', 'azure-synapse', 'data-partitioning']","{'account_id': 19532649, 'reputation': 25, 'user_id': 16833590, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-HUqXNgx9Hp0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnRnR4f8pMrlSXw8dloaqf49laL_g/photo.jpg?sz=256', 'display_name': 'Tony', 'link': 'https://stackoverflow.com/users/16833590/tony'}",False,44,1,0,1694621615,1694521243,77089050,CC BY-SA 4.0,https://stackoverflow.com/questions/77089050/how-azure-dedicated-pool-partition-switch-work-efficiently-when-data-is-sharded,How Azure dedicated pool partition switch work efficiently when data is sharded over 60 distributions,,,,
"['azure', 'azure-synapse']","{'account_id': 26673793, 'reputation': 1, 'user_id': 20284861, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5fb41b25f06502bcd3d25d2b7ebcf604?s=256&d=identicon&r=PG', 'display_name': 'Denise', 'link': 'https://stackoverflow.com/users/20284861/denise'}",False,67,1,0,1694683079,1694320321,77074821,CC BY-SA 4.0,https://stackoverflow.com/questions/77074821/return-the-name-with-the-maximum-number-of-characters-for-each-customer-id-work,Return the name with the maximum number of characters for each customer id. Working in Azure Synapse Analytics using SparkSQL,1694424055.0,,,
"['azure', 'azure-synapse', 'data-lake', 'data-lakehouse']","{'account_id': 19532649, 'reputation': 25, 'user_id': 16833590, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-HUqXNgx9Hp0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnRnR4f8pMrlSXw8dloaqf49laL_g/photo.jpg?sz=256', 'display_name': 'Tony', 'link': 'https://stackoverflow.com/users/16833590/tony'}",True,60,1,0,1694432303,1694275387,77073002,CC BY-SA 4.0,https://stackoverflow.com/questions/77073002/does-azure-synapse-analytics-database-designer-do-not-support-delta-format,Does Azure Synapse Analytics Database designer do not support Delta format,,77081307.0,,
"['python', 'dataframe', 'pyspark', 'azure-synapse']","{'account_id': 1150769, 'reputation': 2535, 'user_id': 1132544, 'user_type': 'registered', 'accept_rate': 29, 'profile_image': 'https://www.gravatar.com/avatar/177a2b40a5496ad74cb45ee5e1e7954c?s=256&d=identicon&r=PG', 'display_name': 'Gerrit', 'link': 'https://stackoverflow.com/users/1132544/gerrit'}",False,47,1,0,1694195565,1694184359,77067865,CC BY-SA 4.0,https://stackoverflow.com/questions/77067865/how-to-split-a-pyspark-dataframe-on-column-values-of-a-separate-dataframe,How to split a PySpark dataframe on column values of a separate dataframe?,,,,
"['azure-data-factory', 'azure-synapse', 'azure-data-lake-gen2', 'microsoft-fabric']","{'account_id': 29247102, 'reputation': 11, 'user_id': 22407300, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTtcEkNqrUXzGwXlZajdcmCHsxjbBhyKAijJcvtWEyP0S=k-s256', 'display_name': 'ms reddy', 'link': 'https://stackoverflow.com/users/22407300/ms-reddy'}",False,65,0,0,1694108750,1694108750,77061811,CC BY-SA 4.0,https://stackoverflow.com/questions/77061811/copy-data-failing-due-to-no-new-records-found-in-source,Copy Data failing due to no new records found in source,,,,
"['azure', 'azure-functions', 'azure-synapse', 'azure-eventhub']","{'account_id': 7703899, 'reputation': 3011, 'user_id': 5835423, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/f16e5088a0a5600ecd1cd2d307d882d3?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'heman123', 'link': 'https://stackoverflow.com/users/5835423/heman123'}",True,34,1,0,1694176129,1694096533,77060451,CC BY-SA 4.0,https://stackoverflow.com/questions/77060451/using-specific-consumer-group-in-event-hub-in-azure-to-input-the-event,Using specific consumer group in event hub in Azure to input the event,,77060866.0,,
"['pyspark', 'jupyter-notebook', 'azure-sql-database', 'azure-synapse']","{'account_id': 29382131, 'reputation': 1, 'user_id': 22512389, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTtciIXpZf0aoIzRGIBnNIznhAxI3uYfNVWDkeafcfc6Oxyk=k-s256', 'display_name': 'sivakumar Esakki', 'link': 'https://stackoverflow.com/users/22512389/sivakumar-esakki'}",False,46,0,-1,1694100294,1694031013,77054997,CC BY-SA 4.0,https://stackoverflow.com/questions/77054997/printschema-working-good-in-the-dataframe-after-applying-filter-display-n,"printSchema() working good in the Dataframe , after applying filter, display() Not working in Azure Synapse notebook why?",1694100294.0,,,
"['azure-synapse', 'apache-synapse', 'azure-synapse-analytics']","{'account_id': 21112239, 'reputation': 51, 'user_id': 15519970, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Ghwfm3Cz59arOcRow0pS3YyztyC3JB3l3u8bk68sM0=k-s256', 'display_name': 'Raffael', 'link': 'https://stackoverflow.com/users/15519970/raffael'}",False,49,1,0,1694077875,1694015279,77053520,CC BY-SA 4.0,https://stackoverflow.com/questions/77053520/unable-to-install-python-tar-gz-package-on-azure-synapse-apache-spark-pool-via-w,Unable to install Python tar.gz package on Azure Synapse Apache Spark Pool via Workspace Package,,,,
"['python', 'dataframe', 'pyspark', 'azure-synapse', 'delta-lake']","{'account_id': 29041761, 'reputation': 5, 'user_id': 22246483, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a196022751db490a179ff13ab5fd6bd3?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Indraneel Dave', 'link': 'https://stackoverflow.com/users/22246483/indraneel-dave'}",True,110,1,0,1694157013,1694001595,77051683,CC BY-SA 4.0,https://stackoverflow.com/questions/77051683/performance-issue-while-merging-data-to-a-delta-lake,Performance issue while merging data to a delta lake,1694002614.0,77064834.0,,
