tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,closed_date,closed_reason,migrated_from,protected_date,community_owned_date
"['database', 'amazon-redshift', 'data-warehouse']","{'account_id': 29474129, 'reputation': 1, 'user_id': 22586234, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ACg8ocKHRyHNPaeZJGOeyWHGw_vsJTbMkFTFo_LDKcLd2DikbOSZ=k-s256', 'display_name': 'vamsi Arimilli', 'link': 'https://stackoverflow.com/users/22586234/vamsi-arimilli'}",False,20,0,0,1695045667,1695045667,77127890,CC BY-SA 4.0,https://stackoverflow.com/questions/77127890/truncate-query-issue-in-aws-redshift,Truncate query issue in AWS Redshift,,,,,,,
"['sql', 'data-warehouse', 'dimensional-modeling', 'star-schema-datawarehouse']","{'account_id': 1722276, 'reputation': 31, 'user_id': 1577780, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/a8eea8957b18ecaa30eac18304f5b97a?s=256&d=identicon&r=PG', 'display_name': 'ks_baba', 'link': 'https://stackoverflow.com/users/1577780/ks-baba'}",False,24,1,0,1695027361,1695015312,77124766,CC BY-SA 4.0,https://stackoverflow.com/questions/77124766/how-to-deal-with-multiple-facts-in-dimensional-modelling,How to deal with multiple facts in dimensional modelling,,,,,,,
"['sql', 'tsql', 'data-warehouse']","{'account_id': 14734630, 'reputation': 117, 'user_id': 10640995, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-MIU2Ys4LGT0/AAAAAAAAAAI/AAAAAAAACEE/FdykcZxjvKM/photo.jpg?sz=256', 'display_name': 'Sachin', 'link': 'https://stackoverflow.com/users/10640995/sachin'}",False,34,0,0,1694857116,1694758686,77110032,CC BY-SA 4.0,https://stackoverflow.com/questions/77110032/t-sql-parallel-execution-when-using-create,T-SQL Parallel execution when using CREATE?,1694857116.0,,,,,,
"['oracle', 'etl', 'data-warehouse', 'scd']","{'account_id': 29395676, 'reputation': 1, 'user_id': 22523076, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTtclG3fgNlzL829x12Habw2je3gH6Tg03GPW-rW5WU84=k-s256', 'display_name': 'Umang Chauhan', 'link': 'https://stackoverflow.com/users/22523076/umang-chauhan'}",False,31,1,-1,1694183200,1694180393,77067417,CC BY-SA 4.0,https://stackoverflow.com/questions/77067417/how-to-implement-scd-to-update-and-maintain-salary-and-dept-of-employee,How to implement SCD to update and maintain salary and dept of employee,,,,,,,
"['snowflake-cloud-data-platform', 'data-warehouse', 'dbt']","{'account_id': 15975342, 'reputation': 51, 'user_id': 11528412, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9660d24ea30b880a0b433c6a14fcd8f0?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 't1808', 'link': 'https://stackoverflow.com/users/11528412/t1808'}",True,32,1,1,1694163179,1694160883,77065222,CC BY-SA 4.0,https://stackoverflow.com/questions/77065222/how-to-implement-snowflake-task-in-dbt,How to implement Snowflake &#39;Task&#39; in DBT,,,,,,,
"['many-to-many', 'data-warehouse']","{'account_id': 29345763, 'reputation': 1, 'user_id': 22484129, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/501f9745faf13092d2998f16b08f67e7?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Joe S', 'link': 'https://stackoverflow.com/users/22484129/joe-s'}",False,14,0,0,1693630420,1693630420,77027015,CC BY-SA 4.0,https://stackoverflow.com/questions/77027015/how-do-i-model-a-fact-that-is-related-to-many-dimensions-in-my-data-warehouse-de,How Do I Model a Fact that is Related to Many Dimensions in my Data Warehouse Design,,,,,,,
"['postgresql', 'data-warehouse', 'olap', 'sql-data-warehouse', 'star-schema-datawarehouse']","{'account_id': 9298960, 'reputation': 29, 'user_id': 6905090, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f5a15b93a341aa35095a783d7e5f6c30?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Amit', 'link': 'https://stackoverflow.com/users/6905090/amit'}",False,29,0,0,1693283124,1693283124,76997297,CC BY-SA 4.0,https://stackoverflow.com/questions/76997297/postgresql-as-olap-setup,PostgreSQL as OLAP setup,,,,,,,
"['sql', 'database', 'tsql', 'data-warehouse']","{'account_id': 19589841, 'reputation': 39, 'user_id': 14337101, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fbf0e9f7ba0acd3aa7f374e3ee4d720a?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Drdre01', 'link': 'https://stackoverflow.com/users/14337101/drdre01'}",False,41,0,0,1693323346,1693260675,76996291,CC BY-SA 4.0,https://stackoverflow.com/questions/76996291/stage-to-fact-continuous,stage to fact continuous,1693323346.0,,,,,,
"['google-bigquery', 'data-warehouse']","{'account_id': 28825776, 'reputation': 1, 'user_id': 22077202, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTtfRhSyeMUewsS0RcRBoQUhCQVIZeuNr3qx8J7Qf=k-s256', 'display_name': 'TES', 'link': 'https://stackoverflow.com/users/22077202/tes'}",False,15,0,0,1692863016,1692863016,76967178,CC BY-SA 4.0,https://stackoverflow.com/questions/76967178/when-using-the-shared-slot-pool-for-a-batch-load-is-it-possible-to-see-how-many,"When using the shared slot pool for a batch load, is it possible to see how many slots were used in the load job?",,,,,,,
"['integration', 'pentaho', 'data-warehouse', 'dataverse']","{'account_id': 11600807, 'reputation': 11, 'user_id': 8551301, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-LZ1rAptgufA/AAAAAAAAAAI/AAAAAAAAAAs/4538T2aKeWA/photo.jpg?sz=256', 'display_name': 'Truong Dai', 'link': 'https://stackoverflow.com/users/8551301/truong-dai'}",False,43,3,1,1694433848,1692795445,76961573,CC BY-SA 4.0,https://stackoverflow.com/questions/76961573/how-does-pentaho-data-integration-connect-to-microsoft-dataverse,How does Pentaho Data Integration connect to Microsoft Dataverse?,1692892187.0,,,,,,
"['django', 'web-applications', 'etl', 'data-warehouse']","{'account_id': 25458577, 'reputation': 13, 'user_id': 19258813, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f2a17b4482c36c81f0d76b7658c86e40?s=256&d=identicon&r=PG', 'display_name': 'donutspie', 'link': 'https://stackoverflow.com/users/19258813/donutspie'}",False,29,0,0,1692292268,1692291004,76923590,CC BY-SA 4.0,https://stackoverflow.com/questions/76923590/i-have-a-django-web-app-that-relies-heavily-on-third-party-data-how-to-make-the,I have a Django web app that relies heavily on third-party data. How to make the two sides independent but still usable?,1692292268.0,,,,,,
"['sql', 'sql-server', 'data-warehouse', 'scd', 'sql-data-warehouse']","{'account_id': 29190491, 'reputation': 13, 'user_id': 22362713, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTtc5SWGBp9ZM0AP2m2Ix9mCltpSQpadd572OmXraUkf_=k-s256', 'display_name': 'Gaurav Jan', 'link': 'https://stackoverflow.com/users/22362713/gaurav-jan'}",True,17,1,0,1692879159,1692126019,76908502,CC BY-SA 4.0,https://stackoverflow.com/questions/76908502/scd-type-2-implementation,SCD TYPE 2 Implementation,1692787102.0,76968889.0,,,,,
"['sql', 'snowflake-cloud-data-platform', 'data-warehouse', 'dbt']","{'account_id': 29223827, 'reputation': 1, 'user_id': 22389032, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTteR90bd6xrRyEScog5ml0HYJz8Xrhr0l6EUSBbaWirz=k-s256', 'display_name': 'Swati Srivastava', 'link': 'https://stackoverflow.com/users/22389032/swati-srivastava'}",False,38,0,0,1692034883,1692033465,76900943,CC BY-SA 4.0,https://stackoverflow.com/questions/76900943/dbt-run-failing-due-to-error-in-re-data-schema-changes,DBT run failing due to error in re_data_schema_changes,1692034883.0,,,,,,
"['data-modeling', 'data-warehouse', 'fact-table']","{'account_id': 7719471, 'reputation': 331, 'user_id': 5846131, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/78dfc293c42dd6bf344c2eeaaff2ed7f?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'shihs', 'link': 'https://stackoverflow.com/users/5846131/shihs'}",True,41,2,0,1692005522,1691948518,76894538,CC BY-SA 4.0,https://stackoverflow.com/questions/76894538/how-to-know-if-it-is-a-good-choice-to-make-a-field-with-only-a-few-distinct-poss,How to know if it is a good choice to make a field with only a few distinct possible values as a dimension table?,1691950653.0,,,,,,
"['excel', 'powerbi', 'ssas', 'data-warehouse', 'ssas-tabular']","{'account_id': 29172973, 'reputation': 1, 'user_id': 22348865, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0b5ab3fdb3269463873521b5ed0f5dd3?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Dorian', 'link': 'https://stackoverflow.com/users/22348865/dorian'}",False,38,0,0,1691356716,1691356716,76847806,CC BY-SA 4.0,https://stackoverflow.com/questions/76847806/issue-regarding-date-column-in-excel-and-powerbi,Issue regarding date column in Excel and PowerBI,,,,,,,
"['python', 'sql', 'snowflake-cloud-data-platform', 'data-warehouse']","{'account_id': 19409631, 'reputation': 69, 'user_id': 14194281, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-6d_kRGKNzmo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclxeRxbsRdelqOBmkQKRIqS7rrE3g/photo.jpg?sz=256', 'display_name': 'Bhavik Vagadia', 'link': 'https://stackoverflow.com/users/14194281/bhavik-vagadia'}",True,99,1,0,1693260298,1690788032,76801439,CC BY-SA 4.0,https://stackoverflow.com/questions/76801439/snowflake-how-to-call-external-function-in-snowpark,Snowflake how to call External Function in Snowpark,1690794812.0,76803990.0,,,,,
"['sql-server', 'data-warehouse', 'dimensions', 'fact']","{'account_id': 29094345, 'reputation': 1, 'user_id': 22287543, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7e565bfbd9d1dd0082fbd5103a911dcd?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'UNIQP', 'link': 'https://stackoverflow.com/users/22287543/uniqp'}",False,50,1,-1,1690462899,1690366341,76770181,CC BY-SA 4.0,https://stackoverflow.com/questions/76770181/i-have-a-datawarehouse-problem-with-the-fact-and-dimension-table,I have a datawarehouse problem with the fact and dimension table,1690454338.0,,,,,,
"['etl', 'aws-glue', 'data-warehouse']","{'account_id': 29093416, 'reputation': 1, 'user_id': 22286775, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/88adc9297f289795dbb2fed85864617e?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Kevin Lelievre', 'link': 'https://stackoverflow.com/users/22286775/kevin-lelievre'}",False,60,1,0,1694003500,1690358531,76769145,CC BY-SA 4.0,https://stackoverflow.com/questions/76769145/aws-glue-etl-replace-null-value-with-0,AWS Glue ETL replace NULL value with 0,,,,,,,
"['azure', 'data-warehouse', 'azure-synapse']","{'account_id': 28355562, 'reputation': 31, 'user_id': 21686364, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/80b12a22ea5c2e0640b8dffe2cd2f8b5?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'SOUser', 'link': 'https://stackoverflow.com/users/21686364/souser'}",False,38,1,0,1690280502,1690266262,76759944,CC BY-SA 4.0,https://stackoverflow.com/questions/76759944/error-when-importing-db-objects-from-datawarehouse-to-database-project,Error When Importing DB objects from Datawarehouse to Database Project,,,,,,,
