tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,protected_date
"['amazon-redshift', 'dbt', 'dbt-cloud', 'dbt-postgres']","{'account_id': 8367973, 'reputation': 15, 'user_id': 6283959, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6c937638596b2dafdce2e709ab3508a5?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Gar', 'link': 'https://stackoverflow.com/users/6283959/gar'}",False,11,0,0,1695577163,1695577163,77168234,CC BY-SA 4.0,https://stackoverflow.com/questions/77168234/weird-dbt-cloud-store-failures-error-with-redshift,Weird dbt (cloud) store_failures error with Redshift,,,,,
"['dbt', 'confluence']","{'account_id': 21400147, 'reputation': 1, 'user_id': 15762465, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3dc822d5c70b0cc7467fad1d2499838c?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'rakimo', 'link': 'https://stackoverflow.com/users/15762465/rakimo'}",False,13,0,0,1695538402,1695538402,77166007,CC BY-SA 4.0,https://stackoverflow.com/questions/77166007/is-there-a-way-to-embed-dbt-docs-within-confluence,Is there a way to embed dbt docs within Confluence?,,,,,
"['sql', 'struct', 'google-bigquery', 'dbt']","{'account_id': 28266546, 'reputation': 13, 'user_id': 21610422, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/74ed1a002be1728992818305757efe69?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'xxx_anna', 'link': 'https://stackoverflow.com/users/21610422/xxx-anna'}",True,26,1,0,1695408271,1695405719,77159812,CC BY-SA 4.0,https://stackoverflow.com/questions/77159812/what-to-do-when-error-ordering-by-expressions-of-type-struct-is-not-allowed-an,What to do when error &#39;Ordering by expressions of type STRUCT is not allowed&#39; and ordering is in qualify row number over() statement?,77160028.0,1695406505.0,,,
"['continuous-integration', 'dbt']","{'account_id': 7513284, 'reputation': 2172, 'user_id': 7885903, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/5GUn7.jpg?s=256&g=1', 'display_name': 'Lucas Mendes Mota Da Fonseca', 'link': 'https://stackoverflow.com/users/7885903/lucas-mendes-mota-da-fonseca'}",False,11,0,0,1695246566,1695246566,77146092,CC BY-SA 4.0,https://stackoverflow.com/questions/77146092/trigger-dbt-job-via-api-using-pr-number-pr-id,Trigger dbt job via API using PR number (PR id),,,,,
"['python', 'dbt']","{'account_id': 8468205, 'reputation': 1521, 'user_id': 6351763, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/pUElM.jpg?s=256&g=1', 'display_name': 'NemesisMF', 'link': 'https://stackoverflow.com/users/6351763/nemesismf'}",False,18,0,1,1695232000,1695232000,77144861,CC BY-SA 4.0,https://stackoverflow.com/questions/77144861/dbt-pass-return-value-of-dbt-macro-to-python,dbt - pass return value of dbt macro to python,,,,,
"['google-bigquery', 'dbt']","{'account_id': 4134695, 'reputation': 416, 'user_id': 3391592, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://graph.facebook.com/605296224/picture?type=large', 'display_name': 'Moon_Watcher', 'link': 'https://stackoverflow.com/users/3391592/moon-watcher'}",False,21,1,0,1695249615,1695209232,77141944,CC BY-SA 4.0,https://stackoverflow.com/questions/77141944/get-relation-function-in-dbt-not-working-as-expected,get_relation function in dbt not working as expected,,,,,
"['azure', 'dbt', 'azure-monitor']","{'account_id': 15842547, 'reputation': 11, 'user_id': 11430628, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-pPMd6dAfdMo/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3reuf87tv6ZQS8TY6QmhHRTRowPhoQ/mo/photo.jpg?sz=256', 'display_name': 'Ankit Devani', 'link': 'https://stackoverflow.com/users/11430628/ankit-devani'}",True,47,1,0,1695302441,1695206021,77141557,CC BY-SA 4.0,https://stackoverflow.com/questions/77141557/how-to-create-python-macros-in-dbt-for-external-api-calls-and-jdbc-connections,How to Create Python Macros in DBT for External API Calls and JDBC Connections,,,,,
"['transformation', 'dbt']","{'account_id': 22480162, 'reputation': 1, 'user_id': 16679348, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJz8Fk2aienqkLz731SfmvQ4dLcCXRMEFfNZ5uZn=k-s256', 'display_name': 'Ashi', 'link': 'https://stackoverflow.com/users/16679348/ashi'}",False,12,0,0,1695186797,1695186797,77139448,CC BY-SA 4.0,https://stackoverflow.com/questions/77139448/unable-to-use-macros-in-dbt-models,unable to use macros in dbt models,,,,,
"['azure', 'dbt', 'azure-log-analytics', 'azure-monitor']","{'account_id': 15842547, 'reputation': 11, 'user_id': 11430628, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-pPMd6dAfdMo/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3reuf87tv6ZQS8TY6QmhHRTRowPhoQ/mo/photo.jpg?sz=256', 'display_name': 'Ankit Devani', 'link': 'https://stackoverflow.com/users/11430628/ankit-devani'}",False,25,0,0,1695012676,1695012676,77124626,,https://stackoverflow.com/questions/77124626/is-there-an-inbuilt-way-to-send-dbt-logs-to-azure-monitor-if-so-what-steps-do,"Is there an inbuilt way to send dbt logs to Azure Monitor? If so, what steps do I need to follow to set it up?",,,1695386469.0,Needs details or clarity,
"['sql', 'snowflake-cloud-data-platform', 'dbt']","{'account_id': 28456339, 'reputation': 1, 'user_id': 21773695, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AGNmyxZMhy47avRcnZ8oF8T9dif97eT2iGCkJ-1A8-retQ=k-s256', 'display_name': 'John Paul', 'link': 'https://stackoverflow.com/users/21773695/john-paul'}",False,53,2,0,1695038769,1694957286,77122007,CC BY-SA 4.0,https://stackoverflow.com/questions/77122007/previous-month-record-calculation-for-a-year,Previous month record calculation for a Year,,1695038769.0,,,
