tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,migrated_to,closed_date,locked_date,closed_reason,accepted_answer_id,migrated_from,protected_date
"['json', 'azure', 'azure-data-factory', 'etl', 'transformation']","{'account_id': 11478337, 'reputation': 9, 'user_id': 8413233, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b5f537b2eb6ed1e0fd98a5bceb9f0074?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Nagarajan Lakshmi Narayanan', 'link': 'https://stackoverflow.com/users/8413233/nagarajan-lakshmi-narayanan'}",False,29,2,-1,1695126458,1695122119,1695123990.0,77134054,CC BY-SA 4.0,https://stackoverflow.com/questions/77134054/backslash-automatically-getting-removed-from-the-json-while-reading-and-need-to,Backslash automatically getting removed from the json while reading and need to preseve the backslash - Azure Data Factory,,,,,,,
"['rest', 'snowflake-cloud-data-platform', 'etl', 'fivetran']","{'account_id': 3989726, 'reputation': 53, 'user_id': 3289086, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/dfbf5815f162dfb2a9555486d0a39ae0?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Bhanu', 'link': 'https://stackoverflow.com/users/3289086/bhanu'}",False,13,0,0,1695106682,1695105632,1695106682.0,77132196,CC BY-SA 4.0,https://stackoverflow.com/questions/77132196/how-to-fetch-hvr-compare-diff-file-through-rest-api,How to fetch HVR compare diff file through REST API?,,,,,,,
['etl'],"{'account_id': 29010700, 'reputation': 1, 'user_id': 22222282, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTtdCw16ISuv8I7Di3yV28XEhqxgQncOySc_CtY-e3g6nHRI=k-s256', 'display_name': 'S&#252;leyman Səməndov', 'link': 'https://stackoverflow.com/users/22222282/s%c3%bcleyman-s%c9%99m%c9%99ndov'}",False,7,0,-2,1695045503,1695045503,,77127872,CC BY-SA 4.0,https://stackoverflow.com/questions/77127872/i-get-this-error-when-i-try-to-use-talend-open-studio-java-util-list-iterator,I get this error when I try to use Talend Open Studio. &quot;java.util.List.iterator()&quot;,,,,,,,
"['sql-server', 'etl']","{'account_id': 1256710, 'reputation': 755, 'user_id': 1216019, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/c774b13d9ed7daa15a5ffb53707d25b2?s=256&d=identicon&r=PG', 'display_name': 'Mattia Durli', 'link': 'https://stackoverflow.com/users/1216019/mattia-durli'}",False,13,0,-1,1694988060,1694988060,,77123764,,https://stackoverflow.com/questions/77123764/does-it-makes-sense-to-have-the-operational-db-and-analytics-db-on-the-same-sqls,Does it makes sense to have the operational DB and analytics DB on the same SQLServer?,"{'other_site': {'styling': {'tag_background_color': '#FFF', 'tag_foreground_color': '#000', 'link_color': '#0077CC'}, 'related_sites': [{'relation': 'meta', 'api_site_parameter': 'dba.meta', 'site_url': 'https://dba.meta.stackexchange.com', 'name': 'Database Administrators Meta Stack Exchange'}, {'relation': 'chat', 'site_url': 'https://chat.stackexchange.com?tab=site&host=dba.stackexchange.com', 'name': 'Chat Stack Exchange'}], 'markdown_extensions': ['Prettify'], 'launch_date': 1313521200, 'open_beta_date': 1294686000, 'closed_beta_date': 1294081200, 'site_state': 'normal', 'high_resolution_icon_url': 'https://cdn.sstatic.net/Sites/dba/Img/apple-touch-icon@2.png', 'favicon_url': 'https://cdn.sstatic.net/Sites/dba/Img/favicon.ico', 'icon_url': 'https://cdn.sstatic.net/Sites/dba/Img/apple-touch-icon.png', 'audience': 'database professionals who wish to improve their database skills and learn from others in the community', 'site_url': 'https://dba.stackexchange.com', 'api_site_parameter': 'dba', 'logo_url': 'https://cdn.sstatic.net/Sites/dba/Img/logo.png', 'name': 'Database Administrators', 'site_type': 'main_site'}, 'on_date': 1694995124, 'question_id': 331294}",1694995124.0,1694995124.0,Not suitable for this site,,,
"['etl', 'pentaho', 'pentaho-data-integration']","{'account_id': 20633907, 'reputation': 95, 'user_id': 15806195, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gh6eCAmBEeTkywIdgSkhVuuQuFpy8kS9Oi1v5z4gA=k-s256', 'display_name': 'Ibrahim Houssem', 'link': 'https://stackoverflow.com/users/15806195/ibrahim-houssem'}",True,24,2,0,1694966451,1694955563,,77121904,CC BY-SA 4.0,https://stackoverflow.com/questions/77121904/translating-data-using-pentaho,Translating data using pentaho,,,,,,,
"['postgresql', 'oracle', 'etl', 'informatica-powercenter']","{'account_id': 7298588, 'reputation': 101, 'user_id': 5562342, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/PUDnk.jpg?s=256&g=1', 'display_name': 'Gabriel F. Silva', 'link': 'https://stackoverflow.com/users/5562342/gabriel-f-silva'}",False,28,0,-1,1694786850,1694786850,,77113060,CC BY-SA 4.0,https://stackoverflow.com/questions/77113060/how-do-i-preview-source-data-in-powercenter-without-password-of-relational-datab,How do I Preview Source Data in PowerCenter Without Password of Relational Database?,,,,,,,
"['sorting', 'etl', 'datastage']","{'account_id': 29415639, 'reputation': 5, 'user_id': 22538538, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ACg8ocIdAkOln3ekXLFFaqATRrFR8GM13STD1NSCil5qzukl=k-s256', 'display_name': 'Anna', 'link': 'https://stackoverflow.com/users/22538538/anna'}",True,24,2,0,1694857884,1694781222,1694792255.0,77112408,CC BY-SA 4.0,https://stackoverflow.com/questions/77112408/datastage-sortstage-cluster-key-change-vs-key-change,Datastage Sortstage cluster key change vs key change,,,,,77117227.0,,
"['sql-server', 'ssis', 'visual-studio-2017', 'excel-2010', 'etl']","{'account_id': 26954968, 'reputation': 11, 'user_id': 22562164, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ALm5wu1ZgyfzaXAvEXnjboRHdUdRXuPA0GqH2D6-R-wdmQ=k-s256', 'display_name': 'Tom&#225;s Luna Ulloa', 'link': 'https://stackoverflow.com/users/22562164/tom%c3%a1s-luna-ulloa'}",False,36,1,0,1694723001,1694714578,1694723001.0,77107421,CC BY-SA 4.0,https://stackoverflow.com/questions/77107421/bugs-with-etl-project-visual-studio-2017,Bugs with ETL project Visual Studio 2017,,,,,,,
"['mongodb', 'amazon-web-services', 'apache-spark', 'etl', 'aws-glue']","{'account_id': 24073524, 'reputation': 59, 'user_id': 18049171, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhQv5N4Z6s5SwTGQaDu55Kxd7LfJIwCe-6m6Qro=k-s256', 'display_name': 'Ashish Kumar', 'link': 'https://stackoverflow.com/users/18049171/ashish-kumar'}",False,23,0,0,1694604094,1694604094,,77096611,CC BY-SA 4.0,https://stackoverflow.com/questions/77096611/i-am-not-able-to-use-mongo-connection-url-in-glue-version-4-but-it-worked-fine-i,i am not able to use mongo connection url in glue version 4 but it worked fine in glue version 3,,,,,,,
"['sql-server', 'etl', 'availability-group']","{'account_id': 23191669, 'reputation': 624, 'user_id': 17287940, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/xIowm.jpg?s=256&g=1', 'display_name': 'Keyvan Soleimani', 'link': 'https://stackoverflow.com/users/17287940/keyvan-soleimani'}",False,40,0,0,1694600386,1694600386,,77096176,CC BY-SA 4.0,https://stackoverflow.com/questions/77096176/problem-with-using-dbts-between-the-primary-and-secondary-in-an-ag,Problem with using @@DBTS between the primary and secondary in an AG,,,,,,,
