tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,bounty_amount,bounty_closes_date,accepted_answer_id,posted_by_collectives,closed_date,closed_reason
"['google-cloud-dataflow', 'apache-beam']","{'account_id': 2108789, 'reputation': 3, 'user_id': 1874469, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f2c6246cfc37ad80f0941e8ecdf81cb3?s=256&d=identicon&r=PG', 'display_name': 'Jdub', 'link': 'https://stackoverflow.com/users/1874469/jdub'}",False,8,0,0,1695076845,1695076716,1695076845.0,77130749,CC BY-SA 4.0,https://stackoverflow.com/questions/77130749/question-re-failedinserts-pcollection-beam-2-45-versus-2-49-behavior-confirma,Question re: FailedInserts PCollection / Beam 2.45 versus 2.49 behavior confirmation,,,,,,
"['azure-data-factory', 'google-cloud-dataflow', 'data-transform']","{'account_id': 29457545, 'reputation': 9, 'user_id': 22573041, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ACg8ocLtVLZYUk4BtCTzBmN2D6ucIDDJ4oAUGsj01emMadRq=k-s256', 'display_name': 'MEGHNA GAIROLA', 'link': 'https://stackoverflow.com/users/22573041/meghna-gairola'}",False,29,0,0,1694872011,1694843058,1694872011.0,77116511,CC BY-SA 4.0,https://stackoverflow.com/questions/77116511/creating-an-additional-column-in-sink-using-logic-that-involves-three-different,Creating an additional column in sink using logic that involves three different columns from three different source tables respectively,,,,,,
"['python', 'google-cloud-platform', 'google-compute-engine', 'google-cloud-dataflow']","{'account_id': 15738139, 'reputation': 25, 'user_id': 11356465, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-E4HBoJ4qIlw/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcv0_MP7cq9bO1D5aJl5kPLZ_Gfjw/mo/photo.jpg?sz=256', 'display_name': 'Raj Kumar', 'link': 'https://stackoverflow.com/users/11356465/raj-kumar'}",True,33,2,0,1694876251,1694781250,,77112412,CC BY-SA 4.0,https://stackoverflow.com/questions/77112412/when-running-a-dataflow-pipeline-how-can-i-reuse-vms,When running a dataflow Pipeline how can I reuse VMS,,,,,,
"['google-cloud-platform', 'google-cloud-dataflow', 'apache-beam', 'google-cloud-pubsub', 'gcs']","{'account_id': 29438074, 'reputation': 1, 'user_id': 22556575, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/280f66515a07591a508b90915c4f52e8?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Roshan', 'link': 'https://stackoverflow.com/users/22556575/roshan'}",False,18,0,0,1694671619,1694671619,,77102182,CC BY-SA 4.0,https://stackoverflow.com/questions/77102182/gcp-pubsub-to-gcs-dataflow,GCP PubSub to GCS dataflow,,,,,,
"['java', 'oracle', 'google-cloud-dataflow', 'apache-beam', 'avro']","{'account_id': 11959487, 'reputation': 1, 'user_id': 8750893, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c143dd42078852932daa9e1108dc32a6?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'pijars', 'link': 'https://stackoverflow.com/users/8750893/pijars'}",False,14,0,0,1694620968,1694605990,1694620968.0,77096836,CC BY-SA 4.0,https://stackoverflow.com/questions/77096836/use-avro-schema-generated-during-the-process-in-writing-operation-to-avro-file-i,Use Avro schema generated during the process in writing operation to Avro file in Apache Beam pipeline/Java,,,,,,
"['google-cloud-dataflow', 'apache-beam', 'avro', 'apache-beam-io', 'apache-beam-internals']","{'account_id': 18705874, 'reputation': 1, 'user_id': 13637056, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/36960a9ad8da11fe98e8fdfb8e21c566?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Surya Srivastava', 'link': 'https://stackoverflow.com/users/13637056/surya-srivastava'}",False,17,0,0,1694581786,1694581786,,77094207,CC BY-SA 4.0,https://stackoverflow.com/questions/77094207/apache-beam-write-pcollectionstring-pojo-to-gcs-bucket,"Apache beam write PCollection&lt;string,pojo&gt; to GCS bucket",,,,,,
"['google-cloud-platform', 'google-bigquery', 'google-cloud-dataflow', 'google-iam']","{'account_id': 10907310, 'reputation': 2112, 'user_id': 8017666, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/060a3fb01bb1beff4162ee106c51fefd?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'SRJ', 'link': 'https://stackoverflow.com/users/8017666/srj'}",False,41,1,0,1694821426,1694548616,,77092326,CC BY-SA 4.0,https://stackoverflow.com/questions/77092326/bigquery-inconsistency-in-last-modified-date-of-table,BigQuery : Inconsistency in Last Modified date of Table,,,,,,
"['google-cloud-platform', 'google-bigquery', 'google-cloud-dataflow']","{'account_id': 10907310, 'reputation': 2112, 'user_id': 8017666, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/060a3fb01bb1beff4162ee106c51fefd?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'SRJ', 'link': 'https://stackoverflow.com/users/8017666/srj'}",False,56,1,0,1694552787,1694534628,1694538496.0,77090866,CC BY-SA 4.0,https://stackoverflow.com/questions/77090866/cloud-dataflow-errors-in-persisting-to-bigquery,Cloud Dataflow Errors in Persisting to BigQuery,,,,,,
"['google-cloud-platform', 'apache-kafka', 'google-bigquery', 'google-cloud-dataflow', 'aws-msk']","{'account_id': 13831935, 'reputation': 107, 'user_id': 9984548, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6d8e9e80e55e31d49d80eb72f2dae20f?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Pyjava', 'link': 'https://stackoverflow.com/users/9984548/pyjava'}",False,29,0,0,1695078348,1694061713,,77056667,CC BY-SA 4.0,https://stackoverflow.com/questions/77056667/how-to-set-parameters-in-kafka-bigquery-dataflow-flex-template,How to set parameters in Kafka-Bigquery Dataflow flex template,50.0,1695683148.0,,,,
"['google-cloud-platform', 'google-cloud-dataflow', 'google-cloud-spanner']","{'account_id': 3167030, 'reputation': 353, 'user_id': 2676791, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9a05bc8f5beeba8289b745520aa6c1c2?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Ulana', 'link': 'https://stackoverflow.com/users/2676791/ulana'}",False,19,0,0,1694022124,1693946721,1694022124.0,77047648,CC BY-SA 4.0,https://stackoverflow.com/questions/77047648/dataflow-export-from-csv-to-spanner-with-fk,Dataflow export from csv to Spanner with FK,,,,,,
