tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date
"['loops', 'informatica-powercenter', 'informatica-cloud', 'iics', 'informatica-data-integration-hub']","{'account_id': 29282205, 'reputation': 1, 'user_id': 22434596, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/765080ee66f3f247275dfdb664ea221e?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Arindam Basu', 'link': 'https://stackoverflow.com/users/22434596/arindam-basu'}",False,36,0,0,1693283991,1692789310,76960828,CC BY-SA 4.0,https://stackoverflow.com/questions/76960828/looping-in-informatica-cloud,Looping in Informatica Cloud,,
"['iics', 'informatica-data-integration-hub', 'iics-di']","{'account_id': 29281939, 'reputation': 1, 'user_id': 22434400, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTteLogOFt796hTUGQuniqITWtMPikcQ8hfxbge5qd9AIRw=k-s256', 'display_name': 'Anitha Mahalakshmi Bandaru', 'link': 'https://stackoverflow.com/users/22434400/anitha-mahalakshmi-bandaru'}",False,23,0,0,1692786276,1692786072,76960427,CC BY-SA 4.0,https://stackoverflow.com/questions/76960427/aggregator-transformation,Aggregator transformation,,
"['informatica', 'informatica-cloud', 'informatica-data-integration-hub']","{'account_id': 27581313, 'reputation': 53, 'user_id': 21050465, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/84fc726a25d007a643649043cd9bbd19?s=256&d=identicon&r=PG', 'display_name': 'Sak', 'link': 'https://stackoverflow.com/users/21050465/sak'}",False,27,1,0,1692069056,1692029590,76900557,CC BY-SA 4.0,https://stackoverflow.com/questions/76900557/informatica-like-operator,Informatica like operator,,
"['informatica', 'informatica-data-integration-hub']","{'account_id': 9517009, 'reputation': 695, 'user_id': 7073030, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/444353d7cbfa29a91f7d82a45fbbe15d?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'KeenLearner', 'link': 'https://stackoverflow.com/users/7073030/keenlearner'}",True,23,1,0,1690787545,1690439065,76776993,CC BY-SA 4.0,https://stackoverflow.com/questions/76776993/xml-read-in-informatica-bdm-10-5-3,XML Read in Informatica BDM 10.5.3,76801388.0,
"['rest', 'web-services', 'informatica-cloud', 'iics', 'informatica-data-integration-hub']","{'account_id': 26094109, 'reputation': 1, 'user_id': 19790476, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AItbvmkejhD1WmTXDRyUOJIKYM86Re2REyJ1j6_I6xko=k-s256', 'display_name': 'sriramvel Manickam', 'link': 'https://stackoverflow.com/users/19790476/sriramvel-manickam'}",False,16,0,0,1689660186,1689660186,76709893,CC BY-SA 4.0,https://stackoverflow.com/questions/76709893/how-to-create-a-rest-web-service-in-informatica-cloud-iics,How to create a rest web service in informatica cloud (IICS)?,,
"['informatica', 'informatica-cloud', 'iics', 'informatica-data-integration-hub', 'iics-di']","{'account_id': 12348984, 'reputation': 71, 'user_id': 9008574, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/efc03d9a17723ddcbbf5293add0c4ae0?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'La. Li', 'link': 'https://stackoverflow.com/users/9008574/la-li'}",True,40,1,1,1690202744,1688482931,76613882,CC BY-SA 4.0,https://stackoverflow.com/questions/76613882/iics-how-to-deal-with-api-which-returns-first-character-as-a-number-but-not-let,IICS: How to deal with API which returns first character as a number but not letter?,,1688487793.0
"['informatica', 'informatica-powercenter', 'informatica-powerexchange', 'informatica-data-integration-hub']","{'account_id': 27581313, 'reputation': 53, 'user_id': 21050465, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/84fc726a25d007a643649043cd9bbd19?s=256&d=identicon&r=PG', 'display_name': 'Sak', 'link': 'https://stackoverflow.com/users/21050465/sak'}",False,39,2,0,1688029187,1687963072,76574256,CC BY-SA 4.0,https://stackoverflow.com/questions/76574256/informatica-incremental-extract-and-load-process,Informatica Incremental extract and load process,,
"['informatica', 'informatica-cloud', 'iics', 'informatica-data-integration-hub', 'iics-di']","{'account_id': 12348984, 'reputation': 71, 'user_id': 9008574, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/efc03d9a17723ddcbbf5293add0c4ae0?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'La. Li', 'link': 'https://stackoverflow.com/users/9008574/la-li'}",True,125,1,1,1688053961,1687808812,76559811,CC BY-SA 4.0,https://stackoverflow.com/questions/76559811/informatica-dealing-with-double-quotes-using-expression-tranformation,Informatica: dealing with double quotes using expression tranformation,,
"['informatica', 'informatica-cloud', 'iics', 'informatica-data-integration-hub', 'iics-di']","{'account_id': 12348984, 'reputation': 71, 'user_id': 9008574, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/efc03d9a17723ddcbbf5293add0c4ae0?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'La. Li', 'link': 'https://stackoverflow.com/users/9008574/la-li'}",False,40,0,0,1687373979,1687373979,76526354,CC BY-SA 4.0,https://stackoverflow.com/questions/76526354/iics-how-to-increase-string-precision-in-business-services-response-fields,IICS: How to increase string precision in business services response fields,,
"['informatica', 'informatica-cloud', 'iics', 'informatica-data-integration-hub', 'iics-di']","{'account_id': 12348984, 'reputation': 71, 'user_id': 9008574, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/efc03d9a17723ddcbbf5293add0c4ae0?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'La. Li', 'link': 'https://stackoverflow.com/users/9008574/la-li'}",False,174,0,0,1686060885,1686060885,76415606,CC BY-SA 4.0,https://stackoverflow.com/questions/76415606/iics-to-date-function-formatting-question,IICS TO_DATE() function formatting question,,
