tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason
"['oracle', 'oracle-data-integrator']","{'account_id': 14740366, 'reputation': 57, 'user_id': 10645154, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b6c0e526d24e7c0ac6b78285e127b10f?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Yaser', 'link': 'https://stackoverflow.com/users/10645154/yaser'}",True,31,77088460.0,1,0,1694516049,1694343414,77075815,CC BY-SA 4.0,https://stackoverflow.com/questions/77075815/odi-12c-compare-two-numeric-variables-get-error,"ODI 12C. Compare two Numeric variables, get error",,,
['oracle-data-integrator'],"{'account_id': 27408461, 'reputation': 1, 'user_id': 20908751, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AEdFTp6lZdxLxeN_yy1Ybv46seHW-FTp0MKsDvJ0bdy-=k-s256', 'display_name': 'RGS', 'link': 'https://stackoverflow.com/users/20908751/rgs'}",False,12,,0,0,1694093102,1694093102,77060033,CC BY-SA 4.0,https://stackoverflow.com/questions/77060033/odi-can-loadplans-have-marker-code-like-scenarios,ODI-can loadplans have Marker code like scenarios,,,
"['design-patterns', 'oracle-cloud-infrastructure', 'oracle-data-integrator']","{'account_id': 29242080, 'reputation': 1, 'user_id': 22403353, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/661369c034b4293aad422615289e9f27?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Anhur', 'link': 'https://stackoverflow.com/users/22403353/anhur'}",False,20,,0,0,1692790619,1692255968,76919167,CC BY-SA 4.0,https://stackoverflow.com/questions/76919167/how-the-attribute-pattern-works-in-the-oracle-cloud-data-integrator,How the attribute pattern works in the Oracle Cloud Data Integrator?,1692790619.0,,
['oracle-data-integrator'],"{'account_id': 29192536, 'reputation': 11, 'user_id': 22364390, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b8437f92a305baaa50761c1c9c73363b?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'ODI12cUser', 'link': 'https://stackoverflow.com/users/22364390/odi12cuser'}",False,68,,1,1,1691705584,1691591507,76868798,CC BY-SA 4.0,https://stackoverflow.com/questions/76868798/odi-12c-substitution-api,ODI 12c Substitution API,1691593484.0,,
"['types', 'number-formatting', 'sqldatatypes', 'oracle-data-integrator']","{'account_id': 28577871, 'reputation': 13, 'user_id': 21879227, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AGNmyxaMKOKPgwVUzEeskLbKhCSBaC7x239k8CuwgxE1=k-s256', 'display_name': 'Anup Sebastian', 'link': 'https://stackoverflow.com/users/21879227/anup-sebastian'}",False,47,,0,0,1687345111,1687333381,76521032,CC BY-SA 4.0,https://stackoverflow.com/questions/76521032/odi-numeric-and-date-format-mask-in-datastores,ODI numeric and date format mask in datastores,1687345111.0,,
['oracle-data-integrator'],"{'account_id': 26610897, 'reputation': 13, 'user_id': 20231108, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1ec884cebef74833284b8c2a44badb5b?s=256&d=identicon&r=PG', 'display_name': 'MaskNu11', 'link': 'https://stackoverflow.com/users/20231108/masknu11'}",True,227,76879348.0,1,0,1691702160,1686747481,76473854,CC BY-SA 4.0,https://stackoverflow.com/questions/76473854/odi-12-how-to-store-a-value-in-a-variable-or-procedure-option,ODI 12 how to store a value in a variable or procedure option,1687463541.0,,
"['oracle', 'groovy', 'oracle-data-integrator']","{'account_id': 23965183, 'reputation': 15, 'user_id': 18699269, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b1d93c60bcc53242e6422a229c3fbae6?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'KKU', 'link': 'https://stackoverflow.com/users/18699269/kku'}",False,64,,1,0,1686926229,1686480624,76450139,CC BY-SA 4.0,https://stackoverflow.com/questions/76450139/odi-groovy-script-to-automap-source-to-target,ODI Groovy Script to AutoMap Source to Target,,,
['oracle-data-integrator'],"{'account_id': 20692231, 'reputation': 1, 'user_id': 17731293, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-pQDeoRSWn1I/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclp9tvyv39lHdZj7ctHcJKSg_G6Ow/s96-c/photo.jpg?sz=256', 'display_name': 'Salva Alvarez', 'link': 'https://stackoverflow.com/users/17731293/salva-alvarez'}",False,145,,2,0,1685519355,1685098360,76340091,CC BY-SA 4.0,https://stackoverflow.com/questions/76340091/odi-studio-wont-start-on-windows-11-tried-multiple-jdk-versions-and-compatibi,"ODI Studio won&#39;t start on Windows 11 - tried multiple JDK versions and compatibility mode, any ideas?",,,
['oracle-data-integrator'],"{'account_id': 13015268, 'reputation': 51, 'user_id': 9406771, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=256', 'display_name': 'Rehan Ali', 'link': 'https://stackoverflow.com/users/9406771/rehan-ali'}",True,84,76253048.0,1,1,1684145650,1684136920,76251912,CC BY-SA 4.0,https://stackoverflow.com/questions/76251912/variable-value-assignment-in-oracle-data-integrator,Variable value assignment in Oracle Data Integrator,,,
"['oracle', 'oracle-cloud-infrastructure', 'object-storage', 'oracle-data-integrator', 'cloud-object-storage']","{'account_id': 18704615, 'reputation': 33, 'user_id': 13636063, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8f815690878fda0844913fded9491da5?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Isaac B', 'link': 'https://stackoverflow.com/users/13636063/isaac-b'}",False,86,,0,0,1683071007,1683071007,76159568,CC BY-SA 4.0,https://stackoverflow.com/questions/76159568/upload-file-from-odi-12c-linux-server-local-directory-to-oracle-object-storage-f,Upload file from ODI 12c linux server local directory to Oracle Object Storage folder,,,
