tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,closed_date,last_edit_date,closed_reason,accepted_answer_id,protected_date
"['log4j', 'log4j2', 'talend']","{'account_id': 23192418, 'reputation': 1, 'user_id': 17288590, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gg1u5ukSgaIiwCH0H112TqQcisSlJv0kGe_AWvxVA=k-s256', 'display_name': 'DarinC', 'link': 'https://stackoverflow.com/users/17288590/darinc'}",False,14,0,0,1694613628,1694613628,77097807,CC BY-SA 4.0,https://stackoverflow.com/questions/77097807/log4j-1-2-17-jar-replacement-for-log4j-2,log4j-1.2.17.jar Replacement for log4j 2,,,,,
"['java', 'class', 'jar', 'manifest', 'talend']","{'account_id': 29413314, 'reputation': 1, 'user_id': 22536703, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ACg8ocJkwSDpHkZiSv6zQdRwqsGuSFu5oHdUaN1389JCOGxK=k-s256', 'display_name': 'Chrath', 'link': 'https://stackoverflow.com/users/22536703/chrath'}",False,27,1,-1,1695021816,1694612376,77097630,,https://stackoverflow.com/questions/77097630/talend-job-jar-not-running,Talend Job JAR not running,1694682227.0,1695021816.0,Duplicate,,
['talend'],"{'account_id': 29405581, 'reputation': 11, 'user_id': 22530717, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ACg8ocIM4IpES8-fA82RGTV2LdW2DMk-CXTiLohqnOgWINAaig=k-s256', 'display_name': 'nurul izza wanadya', 'link': 'https://stackoverflow.com/users/22530717/nurul-izza-wanadya'}",False,37,1,-1,1694413109,1694319615,77074812,,https://stackoverflow.com/questions/77074812/how-to-generate-file-json-for-each-row-in-talend,How to generate file json for each row in talend?,1694473775.0,1694329803.0,Needs details or clarity,,
"['database', 'etl', 'pentaho', 'talend', 'informatica']","{'account_id': 28002980, 'reputation': 1, 'user_id': 21386844, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AGNmyxb4_-1dOiPuqHZJaqJ_bioupLlt_nG2Epx_Pmp2API=k-s256', 'display_name': 'Krishna Murthy', 'link': 'https://stackoverflow.com/users/21386844/krishna-murthy'}",False,24,0,-1,1694418531,1694175015,77066773,CC BY-SA 4.0,https://stackoverflow.com/questions/77066773/monthly-data-getting-double-for-particular-material-numbers-in-etl,Monthly data getting double for particular material numbers in ETL,,1694418531.0,,,
"['amazon-s3', 'talend']","{'account_id': 21005420, 'reputation': 53, 'user_id': 15435344, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GgUQq5DKPU3RW4rCernKVSWZbJw6G36mzAUc5ZUKA=k-s256', 'display_name': 'Seka', 'link': 'https://stackoverflow.com/users/15435344/seka'}",False,17,0,0,1694101816,1694101816,77061108,CC BY-SA 4.0,https://stackoverflow.com/questions/77061108/job-error-on-the-talend-management-console-cloud-broken-pipe-write-failed,Job error on the Talend Management Console (Cloud) : Broken pipe (Write failed) while writing from S3 Bucket,,,,,
"['soap', 'talend']","{'account_id': 29050096, 'reputation': 5, 'user_id': 22253117, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1d66896e6fb6ecf3f3adc71152c9261b?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Ha Anh Nguyen', 'link': 'https://stackoverflow.com/users/22253117/ha-anh-nguyen'}",True,20,1,0,1694071794,1694011338,77052999,CC BY-SA 4.0,https://stackoverflow.com/questions/77052999/pass-dynamic-value-type-date-into-tsoap-message,Pass dynamic value type Date into tSOAP Message,,1694011591.0,,77057450.0,
"['json', 'csv', 'talend', 'talend-mdm']","{'account_id': 20363503, 'reputation': 5, 'user_id': 17308033, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxDu3LpLN7CFNuS4sYOHC4dLu2tMznBHq_PngOM=k-s256', 'display_name': 'msangel', 'link': 'https://stackoverflow.com/users/17308033/msangel'}",False,30,2,1,1694075382,1693993096,77050755,CC BY-SA 4.0,https://stackoverflow.com/questions/77050755/convert-csv-to-json-using-talend-open-studio-for-data-integration,Convert CSV to JSON using Talend Open Studio for Data Integration,,1694006392.0,,,
"['sql', 'talend', 'elt']","{'account_id': 3005632, 'reputation': 165, 'user_id': 2550228, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b72518253ad4a167fcf9663c8551a6bf?s=256&d=identicon&r=PG', 'display_name': 'user2550228', 'link': 'https://stackoverflow.com/users/2550228/user2550228'}",True,27,2,0,1694326317,1693536952,77020257,CC BY-SA 4.0,https://stackoverflow.com/questions/77020257/talend-using-custom-sql-template,Talend Using Custom SQL Template,,1694326291.0,,77074997.0,
"['java', 'sql-server', 'driver', 'pom.xml', 'talend']","{'account_id': 29329846, 'reputation': 11, 'user_id': 22471537, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTtdWiiHjGQUG1V84p-XsllpTstKOjgGX4eX-FZOAnZA=k-s256', 'display_name': 'Max', 'link': 'https://stackoverflow.com/users/22471537/max'}",True,39,1,0,1693529449,1693402129,77008505,CC BY-SA 4.0,https://stackoverflow.com/questions/77008505/talend-di-v8-exception-in-thread-main-java-lang-noclassdeffounderror-javax,Talend DI V8 : Exception in thread &quot;main&quot; java.lang.NoClassDefFoundError: javax/xml/bind/DatatypeConverter,,1693411716.0,,,
"['java', 'talend', 'jasperserver']","{'account_id': 11076154, 'reputation': 41, 'user_id': 8132824, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/78d53fa9c7dc42ea2dfc1515e39eac5b?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'lamar8080', 'link': 'https://stackoverflow.com/users/8132824/lamar8080'}",False,45,1,0,1692999220,1692977050,76978537,CC BY-SA 4.0,https://stackoverflow.com/questions/76978537/failed-to-create-the-java-virtual-machine-error-with-jetl-v7-1-1-on-mac-ventura,Failed to create the Java Virtual Machine error with JETL v7.1.1 on mac Ventura,,,,,
